name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QSHARE1B,GUROBI,optimal,0.003643035888671875,22,720078.3181542465,720078.32,225,342,1436
QSHIP12L,GUROBI,optimal,0.12299299240112305,16,3018876.5772140925,3018876.6,5427,6578,144030
CVXQP3_L,GUROBI,optimal inaccurate,107.1342499256134,51,,115711100.0,10000,17500,102465
QPCBLEND,GUROBI,optimal,0.010597944259643555,19,-0.007842540679611074,-0.0078425409,83,157,657
DUAL3,GUROBI,optimal,0.009158134460449219,16,0.1357558379442763,0.13575584,111,112,12327
QSHIP12S,GUROBI,optimal,0.03357982635498047,16,3056962.2492819214,3056962.3,2763,3914,44705
HS21,GUROBI,optimal,0.0007760524749755859,9,-99.95999999993091,-99.96,2,3,6
CVXQP2_L,GUROBI,optimal,4.834409952163696,13,81842458.2608698,81842458.0,10000,12500,87467
YAO,GUROBI,optimal,0.022227048873901367,21,197.70425598856008,197.70426,2002,4002,10004
QSIERRA,GUROBI,optimal,0.030076026916503906,19,23750458.17874241,23750458.0,2036,3263,9582
AUG3DC,GUROBI,optimal,0.008988142013549805,2,771.2624386889556,771.26244,3873,4873,14292
LISWET4,GUROBI,optimal,0.09114503860473633,17,25.000116491503036,25.000112,10002,20002,50004
DUAL1,GUROBI,optimal,0.00631403923034668,16,0.03501296855878666,0.035012966,85,86,7201
AUG2DQP,GUROBI,optimal,0.20750093460083008,20,6237012.02561877,6237012.1,20200,30200,80000
LISWET8,GUROBI,optimal inaccurate,0.38875484466552734,65,,7144.7006,10002,20002,50004
LISWET9,GUROBI,optimal inaccurate,0.7549278736114502,149,,1963.2513,10002,20002,50004
QSHIP08S,GUROBI,optimal,0.03344988822937012,17,2385728.8513933755,2385728.9,2387,3165,32317
HUESTIS,GUROBI,optimal,0.01936197280883789,15,348244638733.4582,348246900000.0,10000,10002,40000
QBANDM,GUROBI,optimal,0.006953001022338867,21,16352.342037830622,16352.342,472,777,3023
QPCBOEI2,GUROBI,optimal,0.005017995834350586,27,8171962.244330355,8171962.3,143,309,1482
DUALC2,GUROBI,optimal,0.0008959770202636719,9,3551.307692670481,3551.3077,7,236,1659
TAME,GUROBI,optimal,0.0006549358367919922,6,0.0,0.0,2,3,8
QISRAEL,GUROBI,optimal,0.013011932373046875,22,25347837.789121542,25347838.0,142,316,3765
QBRANDY,GUROBI,optimal,0.0045719146728515625,17,28375.11485687355,28375.115,249,469,2511
AUG3DCQP,GUROBI,optimal,0.03177785873413086,17,993.362147988873,993.36215,3873,4873,14292
PRIMAL1,GUROBI,optimal,0.007016897201538086,19,-0.03501296520258878,-0.035012965,325,410,6464
CONT-100,GUROBI,optimal,0.3064711093902588,11,-4.644397868761268,-4.6443979,10197,19998,69399
QSHIP04L,GUROBI,optimal,0.011876106262207031,18,2420015.5341105326,2420015.5,2118,2520,8548
DUAL4,GUROBI,optimal,0.004106998443603516,14,0.7460908429415345,0.74609084,75,76,5673
QAFIRO,GUROBI,optimal,0.0009009838104248047,13,-1.5907817937871664,-1.5907818,32,59,124
QSTANDAT,GUROBI,optimal,0.008337020874023438,15,6411.838389760313,6411.8384,1075,1434,5576
HS51,GUROBI,optimal,0.0005629062652587891,2,8.704148513061227e-14,8.8817842e-16,5,8,21
QSCSD8,GUROBI,optimal,0.02258610725402832,13,940.7635743323308,940.76357,2750,3147,16214
QSCAGR7,GUROBI,optimal,0.0022020339965820312,20,26865948.58902269,26865949.0,140,269,602
QSCAGR25,GUROBI,optimal,0.005751848220825195,17,201737938.3707118,201737940.0,500,971,2282
QPTEST,GUROBI,optimal,0.0005631446838378906,11,4.371875000009419,4.371875,2,4,10
QSEBA,GUROBI,optimal,0.006969928741455078,27,81481800.35622261,81481801.0,1028,1543,6576
QGROW7,GUROBI,optimal,0.005856990814208984,15,-42798713.87254038,-42798714.0,301,441,3597
CVXQP3_S,GUROBI,optimal,0.004682064056396484,11,11943.4322025438,11943.432,100,175,994
STCQP2,GUROBI,optimal,0.10659599304199219,11,22327.313272672385,22327.313,4097,6149,66544
Q25FV47,GUROBI,optimal,0.38822078704833984,21,13744447.892312689,13744448.0,1571,2391,130523
LISWET7,GUROBI,optimal inaccurate,0.3145740032196045,49,,498.84089,10002,20002,50004
DUALC8,GUROBI,optimal,0.0011401176452636719,8,18309.358832734753,18309.359,8,511,4096
PRIMALC2,GUROBI,optimal,0.0008180141448974609,10,-3551.3076926678054,-3551.3077,231,238,2078
DUAL2,GUROBI,optimal,0.006325960159301758,14,0.03373367612284266,0.033733676,96,97,9112
LISWET1,GUROBI,optimal,0.1179969310760498,23,36.1224170118071,36.122402,10002,20002,50004
QFFFFF80,GUROBI,optimal,0.029323101043701172,23,873147.4605224723,873147.47,854,1378,10635
LISWET11,GUROBI,optimal,0.14755892753601074,29,49.52396482412314,49.523957,10002,20002,50004
AUG3D,GUROBI,optimal,0.004949092864990234,2,554.0677257925263,554.06773,3873,4873,13092
PRIMAL2,GUROBI,optimal,0.009286165237426758,18,-0.033733676068662885,-0.033733676,649,745,9339
KSIP,GUROBI,optimal,0.023029088973999023,18,0.5757979412405401,0.57579794,20,1021,19938
PRIMALC1,GUROBI,optimal,0.0009360313415527344,11,-6155.2508294684385,-6155.2508,230,239,2529
PRIMALC8,GUROBI,optimal,0.0011589527130126953,9,-18309.429788383026,-18309.43,520,528,5199
QSHARE2B,GUROBI,optimal,0.002588033676147461,18,11703.691721355543,11703.692,79,175,873
MOSARQP1,GUROBI,optimal,0.016916990280151367,15,-952.8754425226573,-952.87544,2500,3200,8512
AUG2D,GUROBI,optimal,0.04868888854980469,2,1687411.752896738,1687411.8,20200,30200,80000
HS53,GUROBI,optimal,0.0006270408630371094,9,4.093023255813932,4.0930233,5,8,21
CVXQP2_S,GUROBI,optimal,0.0020020008087158203,12,8120.940477270093,8120.9405,100,125,846
DTOC3,GUROBI,optimal,0.026432037353515625,2,235.2624810352241,235.26248,14999,24997,64989
DPKLO1,GUROBI,optimal,0.0016779899597167969,2,0.37009621711427426,0.37009622,133,210,1785
QSHELL,GUROBI,optimal,0.03906702995300293,36,1572636842999.0244,1572636800000.0,1775,2311,74506
CONT-200,GUROBI,optimal,1.609161138534546,11,-4.684875920312099,-4.6848759,40397,79998,278799
CVXQP1_M,GUROBI,optimal,0.15434002876281738,14,1087511.5394876734,1087511.6,1000,1500,9466
POWELL20,GUROBI,optimal,0.2771470546722412,57,52089582812.50088,52089583000.0,10000,20000,40000
QRECIPE,GUROBI,optimal,0.0020859241485595703,20,-266.6159998801486,-266.616,180,271,923
QSCFXM2,GUROBI,optimal,0.02785801887512207,29,27776161.578610756,27776162.0,914,1574,8285
QETAMACR,GUROBI,optimal,0.022351980209350586,23,86760.36962741242,86760.37,688,1088,11613
HS35,GUROBI,optimal,0.0005321502685546875,10,0.11111111111710414,0.11111111,3,4,13
