name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QSHARE1B,MOSEK,optimal,0.0060519203543663025,22,720078.6533194259,720078.32,225,342,1436
QSHIP12L,MOSEK,solver_error,0.25546130537986755,12,3018774.2509454982,3018876.6,5427,6578,144030
CVXQP3_L,MOSEK,solver_error,,,,115711100.0,10000,17500,102465
QPCBLEND,MOSEK,optimal,0.003139648586511612,14,-0.007842339064192669,-0.0078425409,83,157,657
DUAL3,MOSEK,optimal,0.010463021695613861,15,0.1357559741606683,0.13575584,111,112,12327
QSHIP12S,MOSEK,optimal,0.09557360038161278,14,3056959.6395417247,3056962.3,2763,3914,44705
HS21,MOSEK,optimal,0.0011201053857803345,9,-99.95999999980691,-99.96,2,3,6
CVXQP2_L,MOSEK,solver_error,,,,81842458.0,10000,12500,87467
YAO,MOSEK,optimal,0.10777807980775833,35,197.70425116178401,197.70426,2002,4002,10004
QSIERRA,MOSEK,optimal,0.04424173757433891,19,23750437.472664353,23750458.0,2036,3263,9582
AUG3DC,MOSEK,optimal,0.03195883333683014,5,771.2624385858671,771.26244,3873,4873,14292
LISWET4,MOSEK,optimal,0.2559242621064186,17,25.000419639214215,25.000112,10002,20002,50004
DUAL1,MOSEK,optimal,0.006134681403636932,12,0.035013268133983005,0.035012966,85,86,7201
AUG2DQP,MOSEK,optimal,0.3277779258787632,12,6236373.156979142,6237012.1,20200,30200,80000
LISWET8,MOSEK,solver_error,0.26618602126836777,18,25.005156529992746,7144.7006,10002,20002,50004
LISWET9,MOSEK,optimal,0.6188175603747368,46,1963.25060976631,1963.2513,10002,20002,50004
QSHIP08S,MOSEK,optimal,0.06084584444761276,10,2385712.581828169,2385728.9,2387,3165,32317
HUESTIS,MOSEK,solver_error,0.07320732995867729,13,348246067725.3704,348246900000.0,10000,10002,40000
QBANDM,MOSEK,optimal,0.008529037237167358,14,16352.337686127568,16352.342,472,777,3023
QPCBOEI2,MOSEK,optimal,0.00824161246418953,27,8171951.358403421,8171962.3,143,309,1482
DUALC2,MOSEK,optimal,0.0017278008162975311,13,3551.30769425148,3551.3077,7,236,1659
TAME,MOSEK,optimal,0.0010709278285503387,5,0.0,0.0,2,3,8
QISRAEL,MOSEK,optimal,0.013867072761058807,19,25347797.84001339,25347838.0,142,316,3765
QBRANDY,MOSEK,optimal,0.005813319236040115,13,28375.09668549598,28375.115,249,469,2511
AUG3DCQP,MOSEK,optimal,0.044003814458847046,8,993.3576823263834,993.36215,3873,4873,14292
PRIMAL1,MOSEK,optimal,0.010830465704202652,10,-0.03501296308043532,-0.035012965,325,410,6464
CONT-100,MOSEK,optimal,0.4760901853442192,8,-4.644397914077413,-4.6443979,10197,19998,69399
QSHIP04L,MOSEK,optimal,0.014001481235027313,14,2420012.536524284,2420015.5,2118,2520,8548
DUAL4,MOSEK,optimal,0.004815921187400818,12,0.7460911983985827,0.74609084,75,76,5673
QAFIRO,MOSEK,optimal,0.001638568937778473,12,-1.5907816608644691,-1.5907818,32,59,124
QSTANDAT,MOSEK,optimal,0.017425164580345154,13,6411.83863857132,6411.8384,1075,1434,5576
HS51,MOSEK,optimal,0.0010527968406677246,3,8.881784197001252e-16,8.8817842e-16,5,8,21
QSCSD8,MOSEK,optimal,0.026728659868240356,10,940.7638715614236,940.76357,2750,3147,16214
QSCAGR7,MOSEK,optimal,0.004238564521074295,22,26865935.529138654,26865949.0,140,269,602
QSCAGR25,MOSEK,optimal,0.03554989770054817,53,201734741.2729002,201737940.0,500,971,2282
QPTEST,MOSEK,optimal,0.0011156462132930756,6,4.371874999797587,4.371875,2,4,10
QSEBA,MOSEK,optimal,0.011262964457273483,16,81481710.00951712,81481801.0,1028,1543,6576
QGROW7,MOSEK,optimal,0.011368628591299057,21,-42798690.280974165,-42798714.0,301,441,3597
CVXQP3_S,MOSEK,optimal,0.005102634429931641,17,11943.434276301243,11943.432,100,175,994
STCQP2,MOSEK,optimal,0.12216571345925331,9,22327.399575183157,22327.313,4097,6149,66544
Q25FV47,MOSEK,optimal,0.26475031301379204,18,13744379.654836476,13744448.0,1571,2391,130523
LISWET7,MOSEK,solver_error,0.29788313060998917,21,25.005209091922552,498.84089,10002,20002,50004
DUALC8,MOSEK,optimal,0.002129770815372467,14,18309.35883359291,18309.359,8,511,4096
PRIMALC2,MOSEK,optimal,0.0031934790313243866,10,-3551.307709778434,-3551.3077,231,238,2078
DUAL2,MOSEK,optimal,0.007315542548894882,12,0.0337336919551519,0.033733676,96,97,9112
LISWET1,MOSEK,optimal,0.6110048778355122,41,36.12236087556494,36.122402,10002,20002,50004
QFFFFF80,MOSEK,optimal,0.050875648856163025,17,873147.5062936468,873147.47,854,1378,10635
LISWET11,MOSEK,optimal,0.5105186700820923,35,49.49367368526646,49.523957,10002,20002,50004
AUG3D,MOSEK,optimal,0.02080291509628296,5,554.0677257358175,554.06773,3873,4873,13092
