name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
QSHARE1B,OSQP,optimal,0.265340835,29500,730631.2157927508,720078.32,225,342,1436,0,0.000540539,0.264800296,0.0,15
QSHIP12L,OSQP,optimal,0.81929398,1225,3018744.201082414,3018876.6,5427,6578,144030,0,0.041686739,0.777607241,0.0,1
CVXQP3_L,OSQP,optimal,12.408171506999999,425,115612662.21902932,115711100.0,10000,17500,102465,0,3.9124116300000003,8.495759877,0.0,1
QPCBLEND,OSQP,optimal,0.000836664,125,-0.008553076862180842,-0.0078425409,83,157,657,0,0.000280815,0.000555849,0.0,1
DUAL3,OSQP,optimal,0.0018751610000000002,50,0.13575583620789983,0.13575584,111,112,12327,0,0.001089918,0.000785243,0.0,0
QSHIP12S,OSQP,optimal,0.370466533,2175,3056812.321387502,3056962.3,2763,3914,44705,0,0.007023656,0.363442877,0.0,1
HS21,OSQP,optimal,4.4621e-05,50,-99.96000255510639,-99.96,2,3,6,0,2.1981e-05,2.264e-05,0.0,0
CVXQP2_L,OSQP,optimal,9.678880490000001,425,81842457.81204116,81842458.0,10000,12500,87467,0,2.239885598,7.438994892,0.0,2
YAO,OSQP,optimal,0.336858897,4350,3.5334594246430697,197.70426,2002,4002,10004,0,0.002400319,0.334458578,0.0,3
QSIERRA,OSQP,optimal,0.19192341200000002,2475,24013877.416885547,23750458.0,2036,3263,9582,0,0.003384826,0.188538586,0.0,2
AUG3DC,OSQP,optimal,0.009903694000000001,25,771.1474604347345,771.26244,3873,4873,14292,0,0.00608411,0.003819584,0.0,0
LISWET4,OSQP,optimal,0.051569952999999995,100,24.986713292891636,25.000112,10002,20002,50004,0,0.011946608,0.039623345,0.0,1
DUAL1,OSQP,optimal,0.0012302699999999999,50,0.03501005457930933,0.035012966,85,86,7201,0,0.00059871,0.00063156,0.0,1
AUG2DQP,OSQP,optimal,0.724979982,800,6237187.755690901,6237012.1,20200,30200,80000,0,0.029538818,0.695441164,0.0,4
LISWET8,OSQP,optimal,0.052541619,100,24.988964482961364,7144.7006,10002,20002,50004,0,0.012536458,0.040005161,0.0,1
LISWET9,OSQP,optimal,0.051591803,100,24.988914350723462,1963.2513,10002,20002,50004,0,0.011790765,0.039801038,0.0,1
QSHIP08S,OSQP,optimal,0.07833177399999999,550,2385603.929911864,2385728.9,2387,3165,32317,0,0.006243403,0.072088371,0.0,1
HUESTIS,OSQP,optimal,1.7805936070000001,8150,346826308020.5949,348246900000.0,10000,10002,40000,0,0.008091003,1.772502604,0.0,1
QBANDM,OSQP,optimal,0.021089588,875,16351.695384566066,16352.342,472,777,3023,0,0.001441983,0.019647605,0.0,1
QPCBOEI2,OSQP,optimal,0.041200861,4575,7225488.1982049,8171962.3,143,309,1482,0,0.000531129,0.040669732,0.0,2
DUALC2,OSQP,optimal,0.001063798,175,3517.2682093976623,3551.3077,7,236,1659,0,0.000187093,0.000876705,0.0,2
TAME,OSQP,optimal,2.5831e-05,25,0.0,0.0,2,3,8,0,1.8221e-05,7.61e-06,0.0,0
QISRAEL,OSQP,optimal,0.030978852,2425,25348880.754214425,25347838.0,142,316,3765,0,0.000846794,0.030132058,0.0,5
QBRANDY,OSQP,optimal,0.03995409,2450,28372.412511672403,28375.115,249,469,2511,0,0.000972666,0.038981424,0.0,0
AUG3DCQP,OSQP,optimal,0.022992419,100,993.3080076692745,993.36215,3873,4873,14292,0,0.006171871,0.016820548,0.0,1
PRIMAL1,OSQP,optimal,0.003305776,25,-0.03507117168366925,-0.035012965,325,410,6464,0,0.002660515,0.000645261,0.0,0
CONT-100,OSQP,optimal,0.677756441,300,-4.694295279630256,-4.6443979,10197,19998,69399,0,0.091162377,0.586594064,0.0,0
QSHIP04L,OSQP,optimal,0.037358198,625,2419489.378499698,2420015.5,2118,2520,8548,0,0.003750272,0.033607926,0.0,2
DUAL4,OSQP,optimal,0.000951606,50,0.7460886190724999,0.74609084,75,76,5673,0,0.000461418,0.000490188,0.0,1
QAFIRO,OSQP,optimal,0.000210824,100,-1.5884952238798666,-1.5907818,32,59,124,0,8.4972e-05,0.000125852,0.0,0
QSTANDAT,OSQP,optimal,0.142626508,4625,6518.6452338884865,6411.8384,1075,1434,5576,0,0.001507425,0.141119083,0.0,6
HS51,OSQP,optimal,5.0320999999999995e-05,50,-8.881784197001252e-16,8.8817842e-16,5,8,21,0,2.359e-05,2.6731e-05,0.0,0
QSCSD8,OSQP,optimal,0.06896928000000001,800,940.6748126730491,940.76357,2750,3147,16214,0,0.003880664,0.065088616,0.0,0
QSCAGR7,OSQP,optimal,0.01575448,3300,26871378.32896373,26865949.0,140,269,602,0,0.000311375,0.015443105,0.0,2
QSCAGR25,OSQP,optimal,0.025468111,1450,201781941.83566952,201737940.0,500,971,2282,0,0.000829294,0.024638817,0.0,2
