name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,update_time
QSHARE1B,PIQP,optimal,0.0017239080000000001,21,720082.0573092311,720078.32,225,342,1436,0.000369756,0.0013541520000000002,0.0
QSHIP12L,PIQP,optimal,0.31972570400000005,14,3018972.519562927,3018876.6,5427,6578,144030,0.012142841000000001,0.30758286300000004,0.0
CVXQP3_L,PIQP,optimal,35.187656116,8,115711821.20914513,115711100.0,10000,17500,102465,0.045636554,35.142019562,0.0
QPCBLEND,PIQP,optimal,0.0006154600000000001,13,-0.00783172386117014,-0.0078425409,83,157,657,0.00020792300000000002,0.000407537,0.0
DUAL3,PIQP,optimal,0.0035338880000000002,8,0.1357867623256137,0.13575584,111,112,12327,0.0005573990000000001,0.002976489,0.0
QSHIP12S,PIQP,optimal,0.033891830000000005,15,3057205.8053390677,3056962.3,2763,3914,44705,0.004290321000000001,0.029601509,0.0
HS21,PIQP,optimal,4.1381e-05,7,-99.95998765174411,-99.96,2,3,6,2.178e-05,1.9601e-05,0.0
CVXQP2_L,PIQP,optimal,21.422544924,9,81842594.40831375,81842458.0,10000,12500,87467,0.026475587000000002,21.396069337,0.0
YAO,PIQP,optimal,0.013536384,46,197.69501374798506,197.70426,2002,4002,10004,0.001581196,0.011955188,0.0
QSIERRA,PIQP,optimal,0.014273346000000001,18,23750671.68295886,23750458.0,2036,3263,9582,0.002008193,0.012265153,0.0
AUG3DC,PIQP,optimal,0.004743158000000001,0,770.9244687771434,771.26244,3873,4873,14292,0.002040014,0.002703144,0.0
LISWET4,PIQP,optimal,0.022706336,12,24.999347769558085,25.000112,10002,20002,50004,0.005649834,0.017056502,0.0
DUAL1,PIQP,optimal,0.002049804,9,0.035027523432427286,0.035012966,85,86,7201,0.000335276,0.001714528,0.0
AUG2DQP,PIQP,optimal,0.14538815300000002,9,6237014.37796619,6237012.1,20200,30200,80000,0.010762968000000001,0.134625185,0.0
LISWET8,PIQP,optimal,0.022566793,12,25.002060882331534,7144.7006,10002,20002,50004,0.005588852,0.016977941,0.0
LISWET9,PIQP,optimal,0.133644598,97,1963.1408887562434,1963.2513,10002,20002,50004,0.0058909570000000005,0.127753641,0.0
QSHIP08S,PIQP,optimal,0.028113615,12,2385761.7011603722,2385728.9,2387,3165,32317,0.0036296310000000004,0.024483984,0.0
HUESTIS,PIQP,optimal,0.019915218999999998,18,348243151446.6185,348246900000.0,10000,10002,40000,0.004077097,0.015838122,0.0
QBANDM,PIQP,optimal,0.004394623,15,16353.450165823984,16352.342,472,777,3023,0.000886515,0.0035081080000000002,0.0
QPCBOEI2,PIQP,optimal,0.001995513,17,8171965.449140592,8171962.3,143,309,1482,0.000440207,0.001555306,0.0
DUALC2,PIQP,optimal,0.000444017,7,3551.3077900036765,3551.3077,7,236,1659,0.00014110200000000002,0.000302915,0.0
TAME,PIQP,optimal,3.8020000000000005e-05,2,0.0,0.0,2,3,8,1.911e-05,1.891e-05,0.0
QISRAEL,PIQP,optimal,0.003302465,16,25348445.417875744,25347838.0,142,316,3765,0.000634441,0.002668024,0.0
QBRANDY,PIQP,optimal,0.003429047,14,28375.733206135206,28375.115,249,469,2511,0.0006590610000000001,0.0027699860000000003,0.0
AUG3DCQP,PIQP,optimal,0.015398004,6,993.4060839270805,993.36215,3873,4873,14292,0.0022786770000000002,0.013119327,0.0
PRIMAL1,PIQP,optimal,0.003652691,5,-0.03495560771358253,-0.035012965,325,410,6464,0.001363043,0.002289648,0.0
CONT-100,PIQP,optimal,0.575673525,10,-4.644396259671621,-4.6443979,10197,19998,69399,0.014889427,0.5607840980000001,0.0
QSHIP04L,PIQP,optimal,0.0071169779999999995,13,2420030.194601066,2420015.5,2118,2520,8548,0.002669374,0.004447604,0.0
DUAL4,PIQP,optimal,0.001345332,8,0.7460964205034164,0.74609084,75,76,5673,0.00026471400000000004,0.001080618,0.0
QAFIRO,PIQP,optimal,0.000141492,11,-1.5907133276021173,-1.5907818,32,59,124,5.9941e-05,8.1551e-05,0.0
QSTANDAT,PIQP,optimal,0.004744269000000001,17,6412.15511880948,6411.8384,1075,1434,5576,0.001060858,0.003683411,0.0
HS51,PIQP,optimal,3.29e-05,0,1.865174681370263e-13,8.8817842e-16,5,8,21,2.196e-05,1.094e-05,0.0
QSCSD8,PIQP,optimal,0.008390870000000002,9,940.7836754539169,940.76357,2750,3147,16214,0.0023417990000000003,0.0060490710000000005,0.0
QSCAGR7,PIQP,optimal,0.0005644690000000001,12,26868057.43773433,26865949.0,140,269,602,0.00023157400000000002,0.00033289500000000004,0.0
QSCAGR25,PIQP,optimal,0.00180714,12,201747791.04985416,201737940.0,500,971,2282,0.000663251,0.0011438890000000001,0.0
QPTEST,PIQP,optimal,3.8150000000000006e-05,6,4.37187648262986,4.371875,2,4,10,1.898e-05,1.917e-05,0.0
QSEBA,PIQP,optimal,0.005380219,15,81474022.53130156,81481801.0,1028,1543,6576,0.0017778890000000002,0.0036023300000000004,0.0
QGROW7,PIQP,optimal,0.005339248,22,-42798713.87187071,-42798714.0,301,441,3597,0.000702391,0.004636857,0.0
CVXQP3_S,PIQP,optimal,0.000892155,7,11944.201371890145,11943.432,100,175,994,0.000262375,0.00062978,0.0
STCQP2,PIQP,optimal,0.210818044,6,22327.358932687584,22327.313,4097,6149,66544,0.007327951,0.203490093,0.0
Q25FV47,PIQP,optimal,0.423632951,17,13745072.502688006,13744448.0,1571,2391,130523,0.012295313,0.411337638,0.0
LISWET7,PIQP,optimal,0.024431663000000003,13,25.002317947852134,498.84089,10002,20002,50004,0.005977419,0.018454244,0.0
DUALC8,PIQP,optimal,0.00121899,9,18309.35962862441,18309.359,8,511,4096,0.00030881500000000004,0.000910175,0.0
PRIMALC2,PIQP,optimal,0.000661341,10,-3551.100164499338,-3551.3077,231,238,2078,0.000184033,0.000477308,0.0
DUAL2,PIQP,optimal,0.0024793310000000004,8,0.03373996045414482,0.033733676,96,97,9112,0.00044977700000000005,0.0020295540000000003,0.0
LISWET1,PIQP,optimal,0.034238537,21,25.01498274927144,36.122402,10002,20002,50004,0.005778026,0.028460511,0.0
QFFFFF80,PIQP,optimal,0.041667879000000005,28,873177.9764448064,873147.47,854,1378,10635,0.0023442190000000003,0.03932366,0.0
LISWET11,PIQP,optimal,0.030583555000000002,18,25.003811452415448,49.523957,10002,20002,50004,0.005741495,0.024842060000000003,0.0
AUG3D,PIQP,optimal,0.003982236,0,553.781686950429,554.06773,3873,4873,13092,0.002046024,0.001936212,0.0
PRIMAL2,PIQP,optimal,0.004436413,3,-0.032920691980303535,-0.033733676,649,745,9339,0.002352949,0.002083464,0.0
KSIP,PIQP,optimal,0.007156548,12,0.57579794226026,0.57579794,20,1021,19938,0.000531319,0.006625229000000001,0.0
PRIMALC1,PIQP,optimal,0.000895325,12,-6155.054103930295,-6155.2508,230,239,2529,0.000207263,0.000688062,0.0
PRIMALC8,PIQP,optimal,0.001414463,9,-18309.194708453473,-18309.43,520,528,5199,0.00037322600000000005,0.001041237,0.0
QSHARE2B,PIQP,optimal,0.000658871,11,11705.236972660683,11703.692,79,175,873,0.00019934300000000002,0.000459528,0.0
MOSARQP1,PIQP,optimal,0.006943174,6,-952.8637742613047,-952.87544,2500,3200,8512,0.0018687710000000002,0.005074403,0.0
AUG2D,PIQP,optimal,0.040074713000000005,2,1687376.392447473,1687411.8,20200,30200,80000,0.009930665,0.030144048000000003,0.0
HS53,PIQP,optimal,4.8901e-05,4,4.093023255965994,4.0930233,5,8,21,2.4e-05,2.4901e-05,0.0
CVXQP2_S,PIQP,optimal,0.0005274780000000001,8,8121.011400446619,8120.9405,100,125,846,0.00019406300000000002,0.00033341500000000005,0.0
DTOC3,PIQP,optimal,0.013412192,3,235.24092645612527,235.26248,14999,24997,64989,0.007142328000000001,0.006269864,0.0
DPKLO1,PIQP,optimal,0.000466958,0,0.3699161700906998,0.37009622,133,210,1785,0.000301455,0.000165503,0.0
QSHELL,PIQP,optimal,0.133941884,14,1572671535422.9678,1572636800000.0,1775,2311,74506,0.005259937,0.12868194700000002,0.0
CONT-200,PIQP,optimal,4.9053928110000005,7,-4.68412781239483,-4.6848759,40397,79998,278799,0.064383725,4.841009086000001,0.0
CVXQP1_M,PIQP,optimal,0.062535853,8,1087525.4633630407,1087511.6,1000,1500,9466,0.0023220380000000002,0.060213815000000004,0.0
POWELL20,PIQP,optimal,0.035463015,23,52089441192.45024,52089583000.0,10000,20000,40000,0.004761918,0.030701097000000004,0.0
QRECIPE,PIQP,optimal,0.0009663460000000001,15,-266.6136371434373,-266.616,180,271,923,0.000235254,0.000731092,0.0
QSCFXM2,PIQP,optimal,0.010404821,16,27777487.099925328,27776162.0,914,1574,8285,0.0019306610000000002,0.00847416,0.0
QETAMACR,PIQP,optimal,0.063709552,15,86762.4592614208,86760.37,688,1088,11613,0.001610916,0.062098636000000006,0.0
HS35,PIQP,optimal,3.8671e-05,3,0.11215550133143104,0.11111111,3,4,13,1.8611000000000002e-05,2.006e-05,0.0
QGFRDXPN,PIQP,optimal,0.0034690759999999998,11,100791702207.20381,100790590000.0,1092,1708,3739,0.001133188,0.002335888,0.0
QE226,PIQP,optimal,0.005852027,17,212.66209848412407,212.65343,282,505,4721,0.0007967330000000001,0.005055294,0.0
LISWET12,PIQP,optimal,0.029417487,17,25.009518692187612,1736.9274,10002,20002,50004,0.005774426,0.023643061,0.0
CVXQP3_M,PIQP,optimal,0.12500524600000001,9,1362832.8309741179,1362828.7,1000,1750,10215,0.002869907,0.12213533900000001,0.0
STCQP1,PIQP,optimal,0.055270573,5,155144.63026497868,155143.56,4097,6149,66544,0.006784682,0.048485891,0.0
QSCSD1,PIQP,optimal,0.0026114930000000003,10,8.666708009652321,8.6666667,760,837,4584,0.000946676,0.001664817,0.0
LISWET10,PIQP,optimal,0.024661127,13,25.00195957185997,49.485785,10002,20002,50004,0.006037899,0.018623228000000002,0.0
HUES-MOD,PIQP,optimal,0.013402182,11,34824862.894602194,34824690.0,10000,10002,40000,0.0027559560000000004,0.010646226,0.0
CVXQP2_M,PIQP,optimal,0.036415402000000006,8,820173.8045583293,820155.43,1000,1250,8717,0.0017804790000000002,0.034634923000000005,0.0
DUALC1,PIQP,optimal,0.000630201,9,6155.251736334246,6155.2508,9,224,2025,0.00016808300000000002,0.000462118,0.0
QSCTAP2,PIQP,optimal,0.011980138000000001,12,1735.0363147023445,1735.0265,1880,2970,10007,0.002297818,0.009682320000000001,0.0
GOULDQP2,PIQP,optimal,0.0011099780000000002,4,0.0001948489711347503,0.00018427534,699,1048,2791,0.000582459,0.0005275190000000001,0.0
CVXQP1_S,PIQP,optimal,0.000628121,7,11590.941368374653,11590.718,100,150,920,0.000241584,0.000386537,0.0
QSCFXM3,PIQP,optimal,0.015773711000000003,17,30817791.248053957,30816355.0,1371,2361,11501,0.002743255,0.013030456000000001,0.0
STADAT3,PIQP,optimal,0.015942742,9,-35.771820641053196,-35.779453,4001,12000,27998,0.005982748,0.009959994,0.0
CONT-201,PIQP,optimal,6.522367184,11,0.1927173601931771,0.19248337,40397,80595,249996,0.063417059,6.458950125,0.0
AUG3DQP,PIQP,optimal,0.015095779,6,675.3296862818888,675.23767,3873,4873,13092,0.002065814,0.013029965000000001,0.0
EXDATA,PIQP,optimal,8.552374212,11,-141.8420904903712,-141.84343,3000,6001,2260500,0.087034838,8.465339374000001,0.0
QPCSTAIR,PIQP,optimal,0.008235976,15,6204405.065271615,6204387.5,467,823,4790,0.001097698,0.0071382780000000005,0.0
BOYD2,PIQP,optimal,2.697773505,110,21.256800632017068,21.256767,93263,279794,517049,0.122066537,2.575706968,0.0
