name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QSHARE1B,QPALM,optimal,0.011713807,105,732623.8163092135,720078.32,225,342,1436
QSHIP12L,QPALM,optimal,2.44510001,436,3018852.2223807094,3018876.6,5427,6578,144030
CVXQP3_L,QPALM,optimal,213.213147522,113,115689000.4938334,115711100.0,10000,17500,102465
QPCBLEND,QPALM,optimal,0.00119885,22,-0.012318680189751659,-0.0078425409,83,157,657
DUAL3,QPALM,optimal,0.001623807,6,0.1355854010931288,0.13575584,111,112,12327
QSHIP12S,QPALM,optimal,0.561121968,332,3056922.180118617,3056962.3,2763,3914,44705
HS21,QPALM,optimal,3.0731e-05,5,-99.95999800791604,-99.96,2,3,6
CVXQP2_L,QPALM,optimal,143.696938617,100,81842456.36369942,81842458.0,10000,12500,87467
YAO,QPALM,optimal,0.709677886,1059,25.266135360581956,197.70426,2002,4002,10004
QSIERRA,QPALM,optimal,0.168080774,168,23751099.010242347,23750458.0,2036,3263,9582
AUG3DC,QPALM,optimal,0.024756185,12,771.204875212479,771.26244,3873,4873,14292
LISWET4,QPALM,optimal,0.083698861,16,24.996155041786437,25.000112,10002,20002,50004
DUAL1,QPALM,optimal,0.001563535,13,0.03499771389297578,0.035012966,85,86,7201
AUG2DQP,QPALM,optimal,0.499736171,48,6226115.473834187,6237012.1,20200,30200,80000
LISWET8,QPALM,optimal,0.08205868499999999,16,24.998892340553084,7144.7006,10002,20002,50004
LISWET9,QPALM,optimal,0.08245898,16,24.99884622623813,1963.2513,10002,20002,50004
QSHIP08S,QPALM,optimal,0.396013172,279,2385707.996012435,2385728.9,2387,3165,32317
HUESTIS,QPALM,optimal,0.053576047,36,348244633292.5642,348246900000.0,10000,10002,40000
QBANDM,QPALM,optimal,0.061426248,226,16352.379535469914,16352.342,472,777,3023
QPCBOEI2,QPALM,optimal,0.010321162,131,8171381.738717464,8171962.3,143,309,1482
DUALC2,QPALM,optimal,0.000696361,15,3550.8232574552467,3551.3077,7,236,1659
TAME,QPALM,optimal,2.375e-05,4,3.310139244397888e-24,0.0,2,3,8
QISRAEL,QPALM,optimal,0.008444181,82,25347794.821540058,25347838.0,142,316,3765
QBRANDY,QPALM,optimal,0.042578944,255,28362.580571162573,28375.115,249,469,2511
AUG3DCQP,QPALM,optimal,0.059239853,28,993.3566667170581,993.36215,3873,4873,14292
PRIMAL1,QPALM,optimal,0.005268228,15,-0.03501293970459609,-0.035012965,325,410,6464
CONT-100,QPALM,optimal,0.954145828,25,-4.659133321883534,-4.6443979,10197,19998,69399
QSHIP04L,QPALM,optimal,0.266085467,352,2419924.682294034,2420015.5,2118,2520,8548
DUAL4,QPALM,optimal,0.0009739249999999999,8,0.7457038339133876,0.74609084,75,76,5673
QAFIRO,QPALM,optimal,0.000490058,26,-1.5999657501590838,-1.5907818,32,59,124
QSTANDAT,QPALM,optimal,0.013862762,30,6203.357633111881,6411.8384,1075,1434,5576
HS51,QPALM,optimal,3.6291e-05,1,3.552713678800501e-14,8.8817842e-16,5,8,21
QSCSD8,QPALM,optimal,0.359154955,321,940.7595380109119,940.76357,2750,3147,16214
QSCAGR7,QPALM,optimal,0.008531733,122,26859572.383059096,26865949.0,140,269,602
QSCAGR25,QPALM,optimal,0.053383025,219,201731266.73464748,201737940.0,500,971,2282
QPTEST,QPALM,optimal,3.34e-05,7,4.3718868476902495,4.371875,2,4,10
QSEBA,QPALM,optimal,0.04774914,107,81369895.4347653,81481801.0,1028,1543,6576
QGROW7,QPALM,optimal,0.018800285,108,-42798691.572107054,-42798714.0,301,441,3597
CVXQP3_S,QPALM,optimal,0.0022078469999999998,32,11942.819515126625,11943.432,100,175,994
STCQP2,QPALM,optimal,0.35169483900000004,34,22327.223830621744,22327.313,4097,6149,66544
Q25FV47,QPALM,optimal,2.583738134,721,13732970.926663667,13744448.0,1571,2391,130523
LISWET7,QPALM,optimal,0.080785203,16,24.998859434781934,498.84089,10002,20002,50004
DUALC8,QPALM,optimal,0.001375773,13,18140.15397747955,18309.359,8,511,4096
PRIMALC2,QPALM,optimal,0.0007033219999999999,7,-3552.448095914937,-3551.3077,231,238,2078
DUAL2,QPALM,optimal,0.0011154490000000001,5,0.033790772889233725,0.033733676,96,97,9112
LISWET1,QPALM,optimal,0.10392671099999999,19,24.998887313611704,36.122402,10002,20002,50004
QFFFFF80,QPALM,optimal,0.139016827,182,844220.1444195397,873147.47,854,1378,10635
LISWET11,QPALM,optimal,0.082992721,16,24.996061713198742,49.523957,10002,20002,50004
AUG3D,QPALM,optimal,0.01854285,8,553.9702634615398,554.06773,3873,4873,13092
PRIMAL2,QPALM,optimal,0.010669979,19,-0.03373367671634878,-0.033733676,649,745,9339
KSIP,QPALM,optimal,0.006692602000000001,19,0.5756834923784456,0.57579794,20,1021,19938
PRIMALC1,QPALM,optimal,0.000821374,7,-6156.158880145222,-6155.2508,230,239,2529
PRIMALC8,QPALM,optimal,0.001800809,8,-18314.646744654125,-18309.43,520,528,5199
QSHARE2B,QPALM,optimal,0.007483865,140,11703.6631909153,11703.692,79,175,873
MOSARQP1,QPALM,optimal,0.017767407,22,-952.8786752481475,-952.87544,2500,3200,8512
AUG2D,QPALM,optimal,0.130929002,12,1682840.7920002774,1687411.8,20200,30200,80000
