name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
QSHARE1B,SCS,optimal,0.639975897,40700,720391.9964800291,720078.32,225,342,1436,0.0009876960000000001,0.638988201
QSHIP12L,SCS,optimal,52.106506881,71225,3016353.750974914,3018876.6,5427,6578,144030,0.042503083,52.064003798
CVXQP3_L,SCS,optimal,159.264810519,12000,115711041.10858977,115711100.0,10000,17500,102465,4.749351477,154.515459042
QPCBLEND,SCS,optimal,0.004415833,525,-0.008542449983053873,-0.0078425409,83,157,657,0.000481848,0.003933985
DUAL3,SCS,optimal,0.00186447,25,0.13575567279785847,0.13575584,111,112,12327,0.001352232,0.0005122379999999999
QSHIP12S,SCS,optimal,8.992158304000002,38900,3056630.611037018,3056962.3,2763,3914,44705,0.010647706,8.981510598000002
HS21,SCS,optimal,0.000165263,100,-99.96000020659805,-99.96,2,3,6,4.6901e-05,0.000118362
CVXQP2_L,SCS,optimal,134.99049277199998,15250,81842571.60696606,81842458.0,10000,12500,87467,2.4923673610000003,132.498125411
YAO,SCS,optimal,3.914814621,25175,6.912674590325992,197.70426,2002,4002,10004,0.004706288,3.910108333
QSIERRA,SCS,optimal,0.7487839970000001,5250,23477960.685370915,23750458.0,2036,3263,9582,0.006112411,0.742671586
AUG3DC,SCS,optimal,0.017471748999999998,25,771.2624250900499,771.26244,3873,4873,14292,0.009846062999999999,0.0076256860000000004
LISWET4,SCS,optimal,0.19873508599999998,225,24.988260791952143,25.000112,10002,20002,50004,0.023322235,0.17541285099999998
DUAL1,SCS,optimal,0.001106298,25,0.035012014343002724,0.035012966,85,86,7201,0.0007657429999999999,0.000340555
AUG2DQP,SCS,optimal,2.752323692,1700,6237007.326865196,6237012.1,20200,30200,80000,0.051536963,2.700786729
LISWET8,SCS,optimal,0.200472967,225,24.98972480341854,7144.7006,10002,20002,50004,0.023467288,0.177005679
LISWET9,SCS,optimal,0.20007124999999998,225,24.989658790951125,1963.2513,10002,20002,50004,0.023378457000000002,0.176692793
QSHIP08S,SCS,optimal,1.008048516,5250,2385728.3735033665,2385728.9,2387,3165,32317,0.009610779000000002,0.9984377369999999
HUESTIS,SCS,optimal,0.072570581,125,348244638698.6504,348246900000.0,10000,10002,40000,0.016582524,0.055988057
QBANDM,SCS,optimal,0.04157358800000001,1000,16350.478849429544,16352.342,472,777,3023,0.0022544270000000003,0.039319161000000005
QPCBOEI2,SCS,optimal,0.286033641,18650,7214352.782327839,8171962.3,143,309,1482,0.000917785,0.285115856
