name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QSHARE1B,GUROBI_high,optimal,0.003725767135620117,22,720078.3181538241,720078.32,225,342,1436
QSHIP12L,GUROBI_high,optimal,0.12258005142211914,16,3018876.5772140925,3018876.6,5427,6578,144030
CVXQP3_L,GUROBI_high,optimal inaccurate,106.84490013122559,51,,115711100.0,10000,17500,102465
QPCBLEND,GUROBI_high,solver_error,0.0019168853759765625,19,-0.007842540679611074,-0.0078425409,83,157,657
DUAL3,GUROBI_high,solver_error,0.009001970291137695,16,0.1357558379442763,0.13575584,111,112,12327
QSHIP12S,GUROBI_high,optimal,0.033213138580322266,16,3056962.2492819214,3056962.3,2763,3914,44705
HS21,GUROBI_high,optimal,0.0004940032958984375,9,-99.95999999993091,-99.96,2,3,6
CVXQP2_L,GUROBI_high,solver_error,4.770802974700928,13,81842458.2608698,81842458.0,10000,12500,87467
YAO,GUROBI_high,solver_error,0.022342920303344727,21,197.70425598856008,197.70426,2002,4002,10004
QSIERRA,GUROBI_high,optimal,0.02794504165649414,19,23750458.17874527,23750458.0,2036,3263,9582
AUG3DC,GUROBI_high,optimal,0.00886392593383789,2,771.2624386889556,771.26244,3873,4873,14292
LISWET4,GUROBI_high,optimal,0.09226703643798828,17,25.000116491503036,25.000112,10002,20002,50004
DUAL1,GUROBI_high,solver_error,0.0057299137115478516,16,0.03501296855878666,0.035012966,85,86,7201
AUG2DQP,GUROBI_high,optimal,0.21614694595336914,20,6237012.02561877,6237012.1,20200,30200,80000
LISWET8,GUROBI_high,optimal inaccurate,0.3855099678039551,65,,7144.7006,10002,20002,50004
LISWET9,GUROBI_high,optimal inaccurate,0.7488980293273926,149,,1963.2513,10002,20002,50004
QSHIP08S,GUROBI_high,optimal,0.03250288963317871,17,2385728.8513933755,2385728.9,2387,3165,32317
HUESTIS,GUROBI_high,solver_error,0.01993703842163086,15,348244638733.4582,348246900000.0,10000,10002,40000
QBANDM,GUROBI_high,optimal,0.006594181060791016,21,16352.342037830622,16352.342,472,777,3023
QPCBOEI2,GUROBI_high,optimal,0.00392603874206543,27,8171962.244330355,8171962.3,143,309,1482
DUALC2,GUROBI_high,optimal,0.0009250640869140625,9,3551.307692670481,3551.3077,7,236,1659
TAME,GUROBI_high,optimal,0.0005319118499755859,6,0.0,0.0,2,3,8
QISRAEL,GUROBI_high,optimal,0.012905120849609375,22,25347837.789121542,25347838.0,142,316,3765
QBRANDY,GUROBI_high,optimal,0.00438690185546875,17,28375.11485687355,28375.115,249,469,2511
AUG3DCQP,GUROBI_high,solver_error,0.0314178466796875,17,993.362147988873,993.36215,3873,4873,14292
PRIMAL1,GUROBI_high,optimal,0.00690913200378418,19,-0.03501296520258878,-0.035012965,325,410,6464
CONT-100,GUROBI_high,optimal,0.29433703422546387,11,-4.644397868761268,-4.6443979,10197,19998,69399
