name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QSHARE1B,MOSEK_high,optimal,0.008404440000049362,29,720078.32055014,720078.32,225,342,1436
QSHIP12L,MOSEK_high,optimal,0.40482469000016863,22,3018876.55739866,3018876.6,5427,6578,144030
CVXQP3_L,MOSEK_high,solver_error,,,,115711100.0,10000,17500,102465
QPCBLEND,MOSEK_high,optimal,0.0030631869994977023,14,-0.007842339064192669,-0.0078425409,83,157,657
DUAL3,MOSEK_high,optimal,0.010387432999777957,15,0.1357559741606683,0.13575584,111,112,12327
QSHIP12S,MOSEK_high,optimal,0.12376953000057256,20,3056962.240584177,3056962.3,2763,3914,44705
HS21,MOSEK_high,optimal,0.0011187129994141287,9,-99.95999999980691,-99.96,2,3,6
CVXQP2_L,MOSEK_high,solver_error,,,,81842458.0,10000,12500,87467
YAO,MOSEK_high,optimal,0.10617600899968238,35,197.70425116178401,197.70426,2002,4002,10004
QSIERRA,MOSEK_high,optimal,0.05165434799982904,23,23750458.117034037,23750458.0,2036,3263,9582
AUG3DC,MOSEK_high,optimal,0.03197826799987524,5,771.2624387600877,771.26244,3873,4873,14292
LISWET4,MOSEK_high,optimal,0.6758332310000696,37,25.000121517313914,25.000112,10002,20002,50004
DUAL1,MOSEK_high,optimal,0.006035946000338299,12,0.035013268133983005,0.035012966,85,86,7201
AUG2DQP,MOSEK_high,solver_error,0.6591396780004288,,,6237012.1,20200,30200,80000
LISWET8,MOSEK_high,optimal,0.638715725000111,39,714.4428882293266,7144.7006,10002,20002,50004
LISWET9,MOSEK_high,optimal,0.5887901149999379,42,1963.250935605738,1963.2513,10002,20002,50004
QSHIP08S,MOSEK_high,optimal,0.07344400900001347,15,2385728.8438212182,2385728.9,2387,3165,32317
HUESTIS,MOSEK_high,optimal,0.07997761300066486,16,348244657961.76373,348246900000.0,10000,10002,40000
QBANDM,MOSEK_high,optimal,0.009067123999557225,16,16352.342022881063,16352.342,472,777,3023
QPCBOEI2,MOSEK_high,optimal,0.011518244999933813,34,8171959.892375953,8171962.3,143,309,1482
DUALC2,MOSEK_high,optimal,0.0017771680004443624,13,3551.30769425148,3551.3077,7,236,1659
TAME,MOSEK_high,optimal,0.0009518979995846166,5,0.0,0.0,2,3,8
QISRAEL,MOSEK_high,optimal,0.03187746999992669,39,25347836.332993235,25347838.0,142,316,3765
QBRANDY,MOSEK_high,optimal,0.010484830000677903,25,28375.114622763078,28375.115,249,469,2511
AUG3DCQP,MOSEK_high,optimal,0.05771700400055124,12,993.3621248676932,993.36215,3873,4873,14292
PRIMAL1,MOSEK_high,optimal,0.010703955000280985,10,-0.03501296308043532,-0.035012965,325,410,6464
CONT-100,MOSEK_high,optimal,0.4706089419996715,8,-4.644397914077413,-4.6443979,10197,19998,69399
QSHIP04L,MOSEK_high,optimal,0.019477976000416675,19,2420015.534100985,2420015.5,2118,2520,8548
DUAL4,MOSEK_high,optimal,0.004733147000479221,12,0.7460911983985827,0.74609084,75,76,5673
QAFIRO,MOSEK_high,optimal,0.0016921500000535161,12,-1.5907816608644691,-1.5907818,32,59,124
QSTANDAT,MOSEK_high,optimal,0.018262804000187316,14,6411.838414011303,6411.8384,1075,1434,5576
HS51,MOSEK_high,optimal,0.0010879740002565086,3,8.881784197001252e-16,8.8817842e-16,5,8,21
QSCSD8,MOSEK_high,optimal,0.027660409999953117,11,940.7635921917946,940.76357,2750,3147,16214
QSCAGR7,MOSEK_high,optimal,0.008747171000322851,42,26865947.42166356,26865949.0,140,269,602
QSCAGR25,MOSEK_high,optimal,0.03568307900059153,53,201734741.2729002,201737940.0,500,971,2282
QPTEST,MOSEK_high,optimal,0.0011456230004114332,6,4.371874999797587,4.371875,2,4,10
QSEBA,MOSEK_high,optimal,0.01426614000047266,21,81481743.39904971,81481801.0,1028,1543,6576
QGROW7,MOSEK_high,optimal,0.011855767000270134,23,-42798713.791770205,-42798714.0,301,441,3597
CVXQP3_S,MOSEK_high,optimal,0.00498009200055094,17,11943.434276301243,11943.432,100,175,994
STCQP2,MOSEK_high,optimal,0.1321917189998203,12,22327.31362187404,22327.313,4097,6149,66544
Q25FV47,MOSEK_high,optimal,0.49534867300008045,35,13744432.938024726,13744448.0,1571,2391,130523
LISWET7,MOSEK_high,optimal,0.5736188269993363,36,498.8298363795136,498.84089,10002,20002,50004
DUALC8,MOSEK_high,optimal,0.0022274869998000213,14,18309.35883359291,18309.359,8,511,4096
PRIMALC2,MOSEK_high,optimal,0.0032709219995012973,10,-3551.307709778434,-3551.3077,231,238,2078
DUAL2,MOSEK_high,optimal,0.007455821999428736,12,0.0337336919551519,0.033733676,96,97,9112
LISWET1,MOSEK_high,optimal,0.7091274869999324,37,36.11675124225303,36.122402,10002,20002,50004
QFFFFF80,MOSEK_high,optimal,0.05951255099989794,20,873147.4611950729,873147.47,854,1378,10635
LISWET11,MOSEK_high,optimal,0.5731662079997477,32,49.46659306428819,49.523957,10002,20002,50004
AUG3D,MOSEK_high,optimal,0.020828593999794975,5,554.0677257358175,554.06773,3873,4873,13092
PRIMAL2,MOSEK_high,optimal,0.007895891999396554,8,-0.03373367595520996,-0.033733676,649,745,9339
KSIP,MOSEK_high,optimal,0.00951091400020232,12,0.5757979402878615,0.57579794,20,1021,19938
PRIMALC1,MOSEK_high,optimal,0.0033806789997470332,12,-6155.250846722792,-6155.2508,230,239,2529
PRIMALC8,MOSEK_high,optimal,0.005442319999929168,10,-18309.429788323207,-18309.43,520,528,5199
QSHARE2B,MOSEK_high,optimal,0.003911286999937147,18,11703.691724718112,11703.692,79,175,873
MOSARQP1,MOSEK_high,optimal,0.03934806200049934,12,-952.8754451416905,-952.87544,2500,3200,8512
AUG2D,MOSEK_high,optimal,0.2636810249996415,7,1687392.0894576823,1687411.8,20200,30200,80000
HS53,MOSEK_high,optimal,0.001117563000661903,4,4.093023255813948,4.0930233,5,8,21
CVXQP2_S,MOSEK_high,optimal,0.004513742000199272,15,8120.940627102021,8120.9405,100,125,846
DTOC3,MOSEK_high,optimal,0.1431711670002187,4,235.26248080162523,235.26248,14999,24997,64989
DPKLO1,MOSEK_high,optimal,0.0028820010002164054,3,0.37009621711427515,0.37009622,133,210,1785
QSHELL,MOSEK_high,primal infeasible,0.06520955600080924,,,1572636800000.0,1775,2311,74506
CONT-200,MOSEK_high,optimal,1.9751544790005937,8,-4.6848760170592065,-4.6848759,40397,79998,278799
CVXQP1_M,MOSEK_high,optimal,0.2593103389999669,21,1086429.8227851766,1087511.6,1000,1500,9466
POWELL20,MOSEK_high,optimal,0.16135494399986783,7,52089582781.36889,52089583000.0,10000,20000,40000
QRECIPE,MOSEK_high,optimal,0.00318918399989343,18,-266.6159982907616,-266.616,180,271,923
QSCFXM2,MOSEK_high,solver_error,0.056301927999811596,,,27776162.0,914,1574,8285
QETAMACR,MOSEK_high,optimal,0.04352937200019369,19,86760.37019914387,86760.37,688,1088,11613
HS35,MOSEK_high,optimal,0.0011639320000540465,6,0.11111111234336057,0.11111111,3,4,13
QGFRDXPN,MOSEK_high,primal infeasible,0.01565068699983385,,,100790590000.0,1092,1708,3739
QE226,MOSEK_high,optimal,0.02317361799941864,20,212.65352997959556,212.65343,282,505,4721
LISWET12,MOSEK_high,optimal,0.598721867999302,40,1736.9269875986668,1736.9274,10002,20002,50004
CVXQP3_M,MOSEK_high,optimal,0.3505785429997559,24,1360180.242171389,1362828.7,1000,1750,10215
STCQP1,MOSEK_high,optimal,0.05188956399979361,15,155143.55822389555,155143.56,4097,6149,66544
QSCSD1,MOSEK_high,optimal,0.0065199950004171114,9,8.66666667369065,8.6666667,760,837,4584
LISWET10,MOSEK_high,optimal,0.7936608820000401,43,49.46336232875865,49.485785,10002,20002,50004
HUES-MOD,MOSEK_high,optimal,0.07758534099957615,16,34824464.85192482,34824690.0,10000,10002,40000
CVXQP2_M,MOSEK_high,optimal,0.16338742599964462,14,820155.4327636608,820155.43,1000,1250,8717
DUALC1,MOSEK_high,optimal,0.001963493000403105,15,6157.550158381788,6155.2508,9,224,2025
QSCTAP2,MOSEK_high,optimal,0.04520031299944094,13,1735.0264976690717,1735.0265,1880,2970,10007
GOULDQP2,MOSEK_high,optimal,0.01708773199970892,14,0.00018427475111515434,0.00018427534,699,1048,2791
CVXQP1_S,MOSEK_high,optimal,0.004439994999302144,14,11590.71831026559,11590.718,100,150,920
QSCFXM3,MOSEK_high,solver_error,0.103287468000417,,,30816355.0,1371,2361,11501
STADAT3,MOSEK_high,optimal,0.15933440199933102,22,-35.77805592150028,-35.779453,4001,12000,27998
CONT-201,MOSEK_high,optimal,2.264659368000139,13,0.19248341457110085,0.19248337,40397,80595,249996
AUG3DQP,MOSEK_high,optimal,0.08130860199980816,21,675.2376665335296,675.23767,3873,4873,13092
EXDATA,MOSEK_high,optimal,27.936387364999973,13,-141.84335049806754,-141.84343,3000,6001,2260500
QPCSTAIR,MOSEK_high,solver_error,0.036570477999703144,,,6204387.5,467,823,4790
BOYD2,MOSEK_high,optimal,4.102656337000553,34,21.256862664710816,21.256767,93263,279794,517049
QBEACONF,MOSEK_high,optimal,0.004363695999927586,15,164712.06055141834,164712.06,262,435,3673
AUG2DCQP,MOSEK_high,optimal,0.8278226479997102,22,6498058.57723281,6498134.8,20200,30200,80400
PRIMAL4,MOSEK_high,optimal,0.015994518999832508,9,-0.7460908047132309,-0.74609083,1489,1564,19008
HS35MOD,MOSEK_high,optimal,0.0012881889997515827,12,0.2500000473201265,0.25,3,4,13
HS76,MOSEK_high,optimal,0.0012540200004877988,5,-4.681818181258111,-4.6818182,4,7,22
LISWET3,MOSEK_high,optimal,0.7210683720004454,39,25.00122677780132,25.00122,10002,20002,50004
QSCTAP3,MOSEK_high,optimal,0.04734883200035256,13,1438.7546751235916,1438.7547,2480,3960,13262
LASER,MOSEK_high,optimal,0.03524534899952414,15,2409601.3552592937,2409601.4,1002,2002,9462
QGROW15,MOSEK_high,optimal,0.024264351999590872,23,-101693638.92888433,-101693640.0,645,945,7227
QSCFXM1,MOSEK_high,optimal,0.04579721799927938,36,16882662.57772309,16882692.0,457,787,4456
STADAT1,MOSEK_high,solver_error,0.15174981300060608,,,-28526864.0,2001,6000,13998
QSCTAP1,MOSEK_high,optimal,0.01132753000001685,19,1415.8611096545508,1415.8611,480,780,2442
QADLITTL,MOSEK_high,optimal,0.0037876099995628465,12,480318.85854220885,480318.86,97,153,637
QSCRS8,MOSEK_high,optimal,0.015447922000021208,30,904.5599671710823,904.56001,1169,1659,4560
HS268,MOSEK_high,optimal,0.0014824050003880984,11,0.0003119347820756957,5.7310705e-07,5,10,55
LOTSCHD,MOSEK_high,optimal,0.00141071699999884,12,2398.4158915330513,2398.4159,12,19,72
GENHS28,MOSEK_high,optimal,0.0012145809996582102,3,0.927173693766391,0.92717369,10,18,62
VALUES,MOSEK_high,solver_error,,,,-1.3966211,202,203,7846
UBH1,MOSEK_high,optimal,0.06652680400020472,5,1.1160008055057253,1.1160008,18009,30009,72012
QSCORPIO,MOSEK_high,optimal,0.00419283999963227,10,1880.5095026944336,1880.5096,358,746,1842
QSCSD6,MOSEK_high,optimal,0.016066537000369863,12,50.808213601517096,50.808214,1350,1497,8378
LISWET5,MOSEK_high,optimal,0.48731948400018155,26,25.069964765985787,25.034253,10002,20002,50004
QSTAIR,MOSEK_high,solver_error,0.023052021000694367,,,7985452.8,467,823,6293
QSHIP04S,MOSEK_high,optimal,0.013055038999482349,17,2424993.6506195418,2424993.7,1458,1860,5908
LISWET2,MOSEK_high,optimal,0.7504933899999742,38,24.998036055680814,24.998076,10002,20002,50004
HS118,MOSEK_high,optimal,0.0016383209995183279,11,664.8204499999283,664.82045,15,32,69
MOSARQP2,MOSEK_high,optimal,0.03695717899972806,12,-1597.4821595550854,-1597.4821,900,1500,4820
GOULDQP3,MOSEK_high,optimal,0.0317776629999571,16,2.062797429956845,2.062784,699,1048,3838
DUALC5,MOSEK_high,optimal,0.0018155969992221799,9,427.232328436284,427.23233,8,286,2296
ZECEVIC2,MOSEK_high,optimal,0.0011263530004725908,5,-4.124999999960803,-4.125,2,4,7
QSHIP08L,MOSEK_high,optimal,0.4139826319997155,35,2376040.536027258,2376040.6,4283,5061,86075
QFORPLAN,MOSEK_high,primal infeasible,0.015599448000102711,,,7456631500.0,421,582,6112
CONT-101,MOSEK_high,optimal,0.33220724100010557,10,0.19552732002186812,0.19552733,10197,20295,62496
AUG2DC,MOSEK_high,optimal,0.37234690399964165,11,1818361.224666702,1818368.1,20200,30200,80400
LISWET6,MOSEK_high,optimal,0.602615536000485,34,24.995755251795345,24.995748,10002,20002,50004
QPILOTNO,MOSEK_high,optimal,0.1824979600005463,47,4720492.839386512,4728586.9,2172,3147,16105
STADAT2,MOSEK_high,optimal,0.07979506799983938,22,-32.626393088363585,-32.626665,2001,6000,13998
BOYD1,MOSEK_high,optimal,1.1036819319997448,17,-61735220.269194454,-61735220.0,93261,93279,745507
