name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
QSHARE1B,OSQP_high,optimal,208.410863075,23309575,720078.3305152493,720078.32,225,342,1436,0,0.000552929,208.410310146,0.0,1263
QSHIP12L,OSQP_high,optimal,4.041425651,5600,3018876.5795345875,3018876.6,5427,6578,144030,0,0.038574322,4.002851329,0.0,2
CVXQP3_L,OSQP_high,optimal,756.678647017,69275,115711104.32777266,115711100.0,10000,17500,102465,0,3.661688592,753.016958425,0.0,1
QPCBLEND,OSQP_high,optimal,0.014295304,3425,-0.007842542970726249,-0.0078425409,83,157,657,0,0.000276484,0.01401882,0.0,4
DUAL3,OSQP_high,optimal,0.002539161,75,0.13575583630392923,0.13575584,111,112,12327,0,0.001088428,0.001450733,0.0,1
QSHIP12S,OSQP_high,optimal,0.87379428,5600,3056962.2485229773,3056962.3,2763,3914,44705,0,0.007257128,0.866537152,0.0,2
HS21,OSQP_high,optimal,4.9191e-05,100,-99.96000000002465,-99.96,2,3,6,0,2.012e-05,2.9071e-05,0.0,1
CVXQP2_L,OSQP_high,optimal,13.33928813,1125,81842458.26283558,81842458.0,10000,12500,87467,0,1.886908314,11.452379816,0.0,1
YAO,OSQP_high,time_limit,1000.000237895,13085063,65.06831694712582,197.70426,2002,4002,10004,0,0.002336738,999.997901157,0.0,1196
QSIERRA,OSQP_high,optimal,1.2966081360000001,16925,23750458.28429843,23750458.0,2036,3263,9582,0,0.003405386,1.29320275,0.0,16
AUG3DC,OSQP_high,optimal,0.013711615,50,771.2624389541593,771.26244,3873,4873,14292,0,0.006159151,0.007552464,0.0,0
LISWET4,OSQP_high,time_limit,1000.0012323259999,2440418,25.00006467884782,25.000112,10002,20002,50004,0,0.012186449,999.989045877,0.0,3
DUAL1,OSQP_high,optimal,0.0027458150000000004,200,0.035012965048955035,0.035012966,85,86,7201,0,0.00058095,0.002164865,0.0,2
AUG2DQP,OSQP_high,optimal,0.896992601,975,6237012.032078608,6237012.1,20200,30200,80000,0,0.030152954,0.866839647,0.0,6
LISWET8,OSQP_high,time_limit,1000.00131251,2554087,25.002728436094912,7144.7006,10002,20002,50004,0,0.012246471,999.989066039,0.0,4
LISWET9,OSQP_high,time_limit,1000.001343941,2551098,25.004116829343275,1963.2513,10002,20002,50004,0,0.012167399,999.989176542,0.0,4
QSHIP08S,OSQP_high,optimal,0.736644925,5550,2385728.852215876,2385728.9,2387,3165,32317,0,0.006407045,0.73023788,0.0,4
HUESTIS,OSQP_high,optimal,6.023136589,27225,348244624358.7815,348246900000.0,10000,10002,40000,0,0.007658456,6.015478133,0.0,1
QBANDM,OSQP_high,optimal,300.274260873,13542025,16352.342027146893,16352.342,472,777,3023,0,0.001417783,300.27284309,0.0,1623
QPCBOEI2,OSQP_high,optimal,22.968855029,2590400,8171899.5290425625,8171962.3,143,309,1482,0,0.000529919,22.96832511,0.0,3
DUALC2,OSQP_high,optimal,0.001765228,325,3551.3067086253927,3551.3077,7,236,1659,0,0.000186823,0.001578405,0.0,2
TAME,OSQP_high,optimal,4.4081e-05,75,0.0,0.0,2,3,8,0,1.907e-05,2.5011e-05,0.0,2
QISRAEL,OSQP_high,optimal,1.512173206,124400,25347837.788798526,25347838.0,142,316,3765,0,0.000843073,1.511330133,0.0,18
QBRANDY,OSQP_high,optimal,2.15773566,135150,28375.114802352273,28375.115,249,469,2511,0,0.000980616,2.156755044,0.0,1
AUG3DCQP,OSQP_high,optimal,0.041751763,225,993.362146407786,993.36215,3873,4873,14292,0,0.006258322,0.035493441,0.0,1
PRIMAL1,OSQP_high,optimal,0.00614214,125,-0.035012965713336855,-0.035012965,325,410,6464,0,0.002644613,0.003497527,0.0,1
CONT-100,OSQP_high,optimal,17.278366169999998,9175,-4.644397875478996,-4.6443979,10197,19998,69399,0,0.085482561,17.192883609,0.0,11
QSHIP04L,OSQP_high,optimal,2.43064136,44300,2420015.531127271,2420015.5,2118,2520,8548,0,0.00363484,2.42700652,0.0,84
DUAL4,OSQP_high,optimal,0.001773619,150,0.7460908394736115,0.74609084,75,76,5673,0,0.000451817,0.001321802,0.0,2
QAFIRO,OSQP_high,optimal,0.00036541599999999997,250,-1.5907817470843617,-1.5907818,32,59,124,0,8.0441e-05,0.000284975,0.0,0
QSTANDAT,OSQP_high,optimal,0.718921554,23350,6411.839615315674,6411.8384,1075,1434,5576,0,0.001550625,0.717370929,0.0,6
HS51,OSQP_high,optimal,5.6871000000000005e-05,75,-1.7763568394002505e-15,8.8817842e-16,5,8,21,0,2.452e-05,3.2351e-05,0.0,0
QSCSD8,OSQP_high,optimal,0.219455634,2675,940.7635741359909,940.76357,2750,3147,16214,0,0.003793662,0.215661972,0.0,0
QSCAGR7,OSQP_high,time_limit,1000.000022219,210947835,26863238.946797498,26865949.0,140,269,602,0,0.000313175,999.999709044,0.0,181734
QSCAGR25,OSQP_high,time_limit,1000.000071443,59575346,201737338.89517313,201737940.0,500,971,2282,0,0.000896595,999.999174848,0.0,19888
QPTEST,OSQP_high,optimal,4.2230999999999996e-05,50,4.3718750019830335,4.371875,2,4,10,0,1.8701e-05,2.353e-05,0.0,1
QSEBA,OSQP_high,optimal,6.254252234,206625,81481771.34587546,81481801.0,1028,1543,6576,0,0.002128925,6.252123309,0.0,14
QGROW7,OSQP_high,optimal,107.108816887,6000400,-42798713.9032121,-42798714.0,301,441,3597,0,0.001000026,107.107816861,0.0,1031
CVXQP3_S,OSQP_high,optimal,0.001296171,150,11943.432201966758,11943.432,100,175,994,0,0.000344656,0.000951515,0.0,1
STCQP2,OSQP_high,optimal,0.100795251,75,22327.313272417534,22327.313,4097,6149,66544,0,0.036852034,0.063943217,0.0,1
Q25FV47,OSQP_high,time_limit,1000.000897871,3503101,13744452.641635958,13744448.0,1571,2391,130523,0,0.023566605,999.977331266,0.0,1187
LISWET7,OSQP_high,time_limit,1000.000854095,2601932,25.00274290714424,498.84089,10002,20002,50004,0,0.012648247,999.988205848,0.0,3
DUALC8,OSQP_high,optimal,0.0016585270000000001,100,18309.358801773942,18309.359,8,511,4096,0,0.000438767,0.00121976,0.0,2
PRIMALC2,OSQP_high,time_limit,1000.000072019,110292000,1291.7829340569706,-3551.3077,231,238,2078,0,0.000325755,999.999746264,0.0,362320
DUAL2,OSQP_high,optimal,0.00185506,75,0.03373367612269892,0.033733676,96,97,9112,0,0.000765892,0.001089168,0.0,1
LISWET1,OSQP_high,time_limit,1000.000940957,2485701,25.026321391322654,36.122402,10002,20002,50004,0,0.012281561,999.988659396,0.0,4
QFFFFF80,OSQP_high,optimal,27.549484939,361550,873147.463328607,873147.47,854,1378,10635,0,0.004042056,27.545442883,0.0,14
LISWET11,OSQP_high,time_limit,1000.00102315,2539625,25.00053117543621,49.523957,10002,20002,50004,0,0.012277251,999.988745899,0.0,3
AUG3D,OSQP_high,optimal,0.013749635,50,554.067726385262,554.06773,3873,4873,13092,0,0.00613319,0.007616445,0.0,0
PRIMAL2,OSQP_high,optimal,0.00607937,50,-0.03373367611377751,-0.033733676,649,745,9339,0,0.0042374,0.00184197,0.0,0
KSIP,OSQP_high,optimal,3.803449484,89900,0.5757979366937495,0.57579794,20,1021,19938,0,0.001607116,3.801842368,0.0,15
PRIMALC1,OSQP_high,time_limit,1000.0000170659999,95095429,-5823384.5103178965,-6155.2508,230,239,2529,0,0.000366076,999.99965099,0.0,296037
PRIMALC8,OSQP_high,time_limit,1000.0000589350001,46992175,-4390539.000409702,-18309.43,520,528,5199,0,0.000734412,999.999324523,0.0,72601
QSHARE2B,OSQP_high,time_limit,1000.000016298,205188725,11702.51297180706,11703.692,79,175,873,0,0.000282415,999.999733883,0.0,90095
MOSARQP1,OSQP_high,optimal,0.13686642100000002,1600,-952.8754430347889,-952.87544,2500,3200,8512,0,0.003112791,0.13375363,0.0,1
AUG2D,OSQP_high,optimal,0.100679928,75,1687411.7528973601,1687411.8,20200,30200,80000,0,0.030330756,0.070349172,0.0,1
HS53,OSQP_high,optimal,5.256e-05,50,4.09302325582124,4.0930233,5,8,21,0,2.562e-05,2.694e-05,0.0,0
CVXQP2_S,OSQP_high,optimal,0.000725872,100,8120.940477232334,8120.9405,100,125,846,0,0.000254954,0.000470918,0.0,1
DTOC3,OSQP_high,optimal,1.006874831,2125,235.26094649246346,235.26248,14999,24997,64989,0,0.015688356,0.991186475,0.0,2
DPKLO1,OSQP_high,optimal,0.001587896,75,0.3700962172126592,0.37009622,133,210,1785,0,0.000527599,0.001060297,0.0,1
QSHELL,OSQP_high,optimal,1.476662245,9450,1572636843188.7812,1572636800000.0,1775,2311,74506,0,0.011261664,1.465400581,0.0,5
CONT-200,OSQP_high,time_limit,1000.005336766,67395,-4.684900895934553,-4.6848759,40397,79998,278799,0,0.599882675,999.405454091,0.0,72
CVXQP1_M,OSQP_high,optimal,0.299787191,1325,1087511.5672970337,1087511.6,1000,1500,9466,0,0.009254402,0.290532789,0.0,2
POWELL20,OSQP_high,optimal,332.804822387,815175,52089398491.643585,52089583000.0,10000,20000,40000,0,0.011183513,332.793638874,0.0,4
QRECIPE,OSQP_high,optimal,0.002995469,400,-266.6159999184643,-266.616,180,271,923,0,0.000321525,0.002673944,0.0,2
QSCFXM2,OSQP_high,time_limit,1000.000175013,19658817,27776161.305475127,27776162.0,914,1574,8285,0,0.00301716,999.997157853,0.0,207
QETAMACR,OSQP_high,optimal,15.344853521000001,132000,86760.3655921938,86760.37,688,1088,11613,0,0.006035339,15.338818182,0.0,28
HS35,OSQP_high,optimal,4.7521e-05,50,0.1111111111302936,0.11111111,3,4,13,0,2.2881e-05,2.464e-05,0.0,0
QGFRDXPN,OSQP_high,optimal,212.68947393,7488600,100790584862.26042,100790590000.0,1092,1708,3739,0,0.001484415,212.687989515,0.0,24
QE226,OSQP_high,time_limit,1000.000062298,46255820,212.64350744381062,212.65343,282,505,4721,0,0.00122503,999.998837268,0.0,1582
