name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,update_time
QSHARE1B,PIQP_high,optimal,0.001898112,24,720078.3184359934,720078.32,225,342,1436,0.000363886,0.001534226,0.0
QSHIP12L,PIQP_high,optimal,0.406315083,19,3018876.577269145,3018876.6,5427,6578,144030,0.011671022000000001,0.39464406100000005,0.0
CVXQP3_L,PIQP_high,optimal,55.351201202000006,12,115711104.49487217,115711100.0,10000,17500,102465,0.045528949000000006,55.305672253000004,0.0
QPCBLEND,PIQP_high,optimal,0.0007750630000000001,20,-0.007842543090541223,-0.0078425409,83,157,657,0.00020536300000000002,0.0005697,0.0
DUAL3,PIQP_high,optimal,0.0052227,13,0.1357558369662133,0.13575584,111,112,12327,0.00056074,0.004661960000000001,0.0
QSHIP12S,PIQP_high,optimal,0.041260345000000004,19,3056962.249875755,3056962.3,2763,3914,44705,0.004165942000000001,0.037094403000000005,0.0
HS21,PIQP_high,optimal,4.3301000000000004e-05,9,-99.95999999876486,-99.96,2,3,6,1.6321000000000002e-05,2.6980000000000003e-05,0.0
CVXQP2_L,PIQP_high,optimal,29.923239841000004,14,81842458.26287068,81842458.0,10000,12500,87467,0.025231428,29.898008413000003,0.0
YAO,PIQP_high,optimal,0.014230397,49,197.70425582552429,197.70426,2002,4002,10004,0.0016067780000000001,0.012623619,0.0
QSIERRA,PIQP_high,optimal,0.017723648,23,23750458.188177347,23750458.0,2036,3263,9582,0.002013965,0.015709683000000002,0.0
AUG3DC,PIQP_high,optimal,0.007022892000000001,2,771.2624386853076,771.26244,3873,4873,14292,0.0019851350000000003,0.005037757,0.0
LISWET4,PIQP_high,optimal,0.046154041,30,25.000112084412876,25.000112,10002,20002,50004,0.005846732,0.040307309,0.0
DUAL1,PIQP_high,optimal,0.0026479760000000002,13,0.03501296590493879,0.035012966,85,86,7201,0.000347446,0.0023005300000000003,0.0
AUG2DQP,PIQP_high,optimal,0.194241026,13,6237012.026573439,6237012.1,20200,30200,80000,0.010520892,0.183720134,0.0
LISWET8,PIQP_high,optimal,0.121995405,90,714.470055709214,7144.7006,10002,20002,50004,0.005570127,0.11642527800000001,0.0
LISWET9,PIQP_high,optimal,0.14910167500000002,111,1963.251259769288,1963.2513,10002,20002,50004,0.005680808000000001,0.143420867,0.0
QSHIP08S,PIQP_high,optimal,0.036795818,17,2385728.8514321074,2385728.9,2387,3165,32317,0.0038083960000000004,0.032987422,0.0
HUESTIS,PIQP_high,optimal,0.021745697,20,348244638627.8176,348246900000.0,10000,10002,40000,0.0040516400000000004,0.017694057000000003,0.0
QBANDM,PIQP_high,optimal,0.006669136000000001,23,16352.342036669294,16352.342,472,777,3023,0.0009158860000000001,0.0057532500000000006,0.0
QPCBOEI2,PIQP_high,optimal,0.00232553,21,8171962.244330446,8171962.3,143,309,1482,0.00040875700000000004,0.001916773,0.0
DUALC2,PIQP_high,optimal,0.0005202000000000001,9,3551.307692680383,3551.3077,7,236,1659,0.00014307300000000002,0.00037712700000000005,0.0
TAME,PIQP_high,optimal,3.245e-05,5,0.0,0.0,2,3,8,1.465e-05,1.7800000000000002e-05,0.0
QISRAEL,PIQP_high,optimal,0.004319565,24,25347837.789178144,25347838.0,142,316,3765,0.0006267610000000001,0.003692804,0.0
QBRANDY,PIQP_high,optimal,0.004575819,18,28375.114860371068,28375.115,249,469,2511,0.0006457710000000001,0.003930048,0.0
AUG3DCQP,PIQP_high,optimal,0.028105517,13,993.3621465261472,993.36215,3873,4873,14292,0.0021547980000000003,0.025950719,0.0
PRIMAL1,PIQP_high,optimal,0.00519216,9,-0.03501296562781271,-0.035012965,325,410,6464,0.0013590540000000002,0.003833106,0.0
CONT-100,PIQP_high,optimal,0.8401969830000001,13,-4.644397868675127,-4.6443979,10197,19998,69399,0.014940889,0.8252560940000001,0.0
QSHIP04L,PIQP_high,optimal,0.007726244,15,2420015.535581624,2420015.5,2118,2520,8548,0.002679887,0.0050463570000000004,0.0
DUAL4,PIQP_high,optimal,0.0017161900000000003,11,0.7460908422233655,0.74609084,75,76,5673,0.00026452400000000003,0.0014516660000000001,0.0
QAFIRO,PIQP_high,optimal,0.000152422,13,-1.5907817870574927,-1.5907818,32,59,124,5.9601e-05,9.282100000000001e-05,0.0
QSTANDAT,PIQP_high,optimal,0.005557467000000001,21,6411.838389205706,6411.8384,1075,1434,5576,0.0010540080000000002,0.0045034590000000005,0.0
HS51,PIQP_high,optimal,2.79e-05,1,8.881784197001252e-16,8.8817842e-16,5,8,21,1.894e-05,8.96e-06,0.0
QSCSD8,PIQP_high,optimal,0.010819188,13,940.7635742187507,940.76357,2750,3147,16214,0.002388992,0.008430196000000001,0.0
QSCAGR7,PIQP_high,optimal,0.000684352,17,26865948.589874033,26865949.0,140,269,602,0.000239124,0.00044522800000000004,0.0
QSCAGR25,PIQP_high,optimal,0.002230029,17,201737938.38056624,201737940.0,500,971,2282,0.000664052,0.001565977,0.0
QPTEST,PIQP_high,optimal,3.8901e-05,8,4.371875000148314,4.371875,2,4,10,1.614e-05,2.2761e-05,0.0
QSEBA,PIQP_high,optimal,0.00690797,22,81481800.35683616,81481801.0,1028,1543,6576,0.001795982,0.0051119880000000005,0.0
QGROW7,PIQP_high,optimal,0.00577492,25,-42798713.87254127,-42798714.0,301,441,3597,0.000705063,0.0050698570000000005,0.0
CVXQP3_S,PIQP_high,optimal,0.0009021760000000001,11,11943.43220303227,11943.432,100,175,994,0.00025846500000000004,0.000643711,0.0
STCQP2,PIQP_high,optimal,0.207492546,10,22327.313272571693,22327.313,4097,6149,66544,0.007457879000000001,0.200034667,0.0
Q25FV47,PIQP_high,optimal,0.317374302,27,13744447.892404735,13744448.0,1571,2391,130523,0.010893789000000001,0.306480513,0.0
LISWET7,PIQP_high,optimal,0.173505658,131,498.84088731556017,498.84089,10002,20002,50004,0.005656789000000001,0.167848869,0.0
DUALC8,PIQP_high,optimal,0.0014362350000000001,12,18309.358832813694,18309.359,8,511,4096,0.000298725,0.00113751,0.0
PRIMALC2,PIQP_high,optimal,0.000784463,13,-3551.3076924630395,-3551.3077,231,238,2078,0.00017735300000000002,0.00060711,0.0
DUAL2,PIQP_high,optimal,0.0031338950000000003,11,0.03373367614132987,0.033733676,96,97,9112,0.00042776800000000003,0.002706127,0.0
LISWET1,PIQP_high,optimal,0.14590830000000002,109,36.122397117700984,36.122402,10002,20002,50004,0.005612218,0.14029608200000002,0.0
QFFFFF80,PIQP_high,solver_error,0.056771845,39,873147.4605185583,873147.47,854,1378,10635,0.0022766600000000002,0.054495185,0.0
LISWET11,PIQP_high,optimal,0.14194068,106,49.52395660403681,49.523957,10002,20002,50004,0.005604167,0.13633651300000002,0.0
