name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
QSHARE1B,PROXQP_high,optimal,0.20102272399999999,668,720078.3181538207,720078.32,225,342,1436,0.000291889,0.200730835
QSHIP12L,PROXQP_high,time_limit,1000.0,0,inf,3018876.6,5427,6578,144030,,
CVXQP3_L,PROXQP_high,time_limit,1000.0,0,inf,115711100.0,10000,17500,102465,,
QPCBLEND,PROXQP_high,optimal,0.004205621,40,-0.007842543583915302,-0.0078425409,83,157,657,0.000144614,0.004061007
DUAL3,PROXQP_high,optimal,0.001629608,4,0.13575583664769295,0.13575584,111,112,12327,0.0005677179999999999,0.00106189
QSHIP12S,PROXQP_high,optimal,88.653315939,469,3056962.249143847,3056962.3,2763,3914,44705,0.003518477,88.649797462
HS21,PROXQP_high,optimal,7.221699999999999e-05,3,-99.95999999519101,-99.96,2,3,6,2.1759e-05,5.0458e-05
CVXQP2_L,PROXQP_high,optimal,217.747682328,25,81842458.26284093,81842458.0,10000,12500,87467,0.013376615,217.734305713
YAO,PROXQP_high,max_iter_reached,18.813303853,18638,192.14822505937013,197.70426,2002,4002,10004,0.0017567339999999998,18.811547118999997
QSIERRA,PROXQP_high,optimal,46.943225432,336,23750458.17873331,23750458.0,2036,3263,9582,0.001685967,46.941539465
AUG3DC,PROXQP_high,optimal,0.023608907,3,771.2624385657637,771.26244,3873,4873,14292,0.001658787,0.021950119999999997
LISWET4,PROXQP_high,time_limit,1000.0,0,inf,25.000112,10002,20002,50004,,
DUAL1,PROXQP_high,optimal,0.001624028,10,0.035012965597524814,0.035012966,85,86,7201,0.00034711599999999996,0.001276912
AUG2DQP,PROXQP_high,optimal,100.448267266,18,6237012.0254163435,6237012.1,20200,30200,80000,0.009667044999999999,100.438600221
LISWET8,PROXQP_high,time_limit,1000.0,0,inf,7144.7006,10002,20002,50004,,
LISWET9,PROXQP_high,time_limit,1000.0,0,inf,1963.2513,10002,20002,50004,,
QSHIP08S,PROXQP_high,optimal,63.706846846000005,298,2385728.851367921,2385728.9,2387,3165,32317,0.002716237,63.704130609
HUESTIS,PROXQP_high,optimal,0.191122529,11,348244638731.62366,348246900000.0,10000,10002,40000,0.00635826,0.18476426899999998
QBANDM,PROXQP_high,optimal,0.45057161199999995,341,16352.342036663813,16352.342,472,777,3023,0.0005714479999999999,0.450000164
QPCBOEI2,PROXQP_high,optimal,0.015605281,67,8171962.208474635,8171962.3,143,309,1482,0.000217562,0.015387719000000001
DUALC2,PROXQP_high,optimal,0.002358451,12,3551.3076935986032,3551.3077,7,236,1659,0.000131735,0.0022267159999999997
TAME,PROXQP_high,optimal,4.7548e-05,1,-6.7346318864822395e-18,0.0,2,3,8,1.7469e-05,3.0078999999999998e-05
QISRAEL,PROXQP_high,optimal,0.049284668,172,25347837.789121535,25347838.0,142,316,3765,0.000333877,0.048950790999999994
QBRANDY,PROXQP_high,optimal,0.10136485,170,28375.11485488552,28375.115,249,469,2511,0.00042292400000000003,0.100941926
AUG3DCQP,PROXQP_high,optimal,2.467110299,9,993.3621452021775,993.36215,3873,4873,14292,0.0016906559999999998,2.465419643
PRIMAL1,PROXQP_high,optimal,0.004755211,13,-0.035012965780837645,-0.035012965,325,410,6464,0.000313278,0.0044419329999999995
CONT-100,PROXQP_high,time_limit,1000.0,0,inf,-4.6443979,10197,19998,69399,,
QSHIP04L,PROXQP_high,optimal,57.378139351,750,2420015.534109367,2420015.5,2118,2520,8548,0.00158795,57.376551401
DUAL4,PROXQP_high,optimal,0.00077958,5,0.7460908388340086,0.74609084,75,76,5673,0.000279879,0.000499701
QAFIRO,PROXQP_high,optimal,0.000589797,17,-1.5907817946748413,-1.5907818,32,59,124,5.0567999999999994e-05,0.000539229
QSTANDAT,PROXQP_high,optimal,5.899697594999999,102,6411.838388761837,6411.8384,1075,1434,5576,0.0009425740000000001,5.8987550209999995
HS51,PROXQP_high,optimal,6.3927e-05,1,0.0,8.8817842e-16,5,8,21,2.3219e-05,4.0708e-05
QSCSD8,PROXQP_high,optimal,64.09851733,117,940.7635742172919,940.76357,2750,3147,16214,0.002621041,64.095896289
QSCAGR7,PROXQP_high,optimal,0.08454955499999998,736,26865948.56415777,26865949.0,140,269,602,0.000493161,0.08405639399999999
QSCAGR25,PROXQP_high,optimal,0.859520243,808,201737938.20117185,201737940.0,500,971,2282,0.0005117409999999999,0.8590085019999999
QPTEST,PROXQP_high,optimal,8.705799999999999e-05,10,4.371875003803306,4.371875,2,4,10,1.8789999999999998e-05,6.8268e-05
QSEBA,PROXQP_high,optimal,3.29763386,236,81481800.2543843,81481801.0,1028,1543,6576,0.001202405,3.296431455
QGROW7,PROXQP_high,optimal,0.18082037,153,-42798713.87496593,-42798714.0,301,441,3597,0.001831651,0.178988719
CVXQP3_S,PROXQP_high,optimal,0.008987571,17,11943.432201962678,11943.432,100,175,994,0.000604187,0.008383383999999999
STCQP2,PROXQP_high,optimal,0.690531376,10,22327.313271944295,22327.313,4097,6149,66544,0.018155316999999997,0.672376059
Q25FV47,PROXQP_high,optimal,134.115595591,3151,13744447.889256429,13744448.0,1571,2391,130523,0.0063548910000000005,134.1092407
LISWET7,PROXQP_high,time_limit,1000.0,0,inf,498.84089,10002,20002,50004,,
DUALC8,PROXQP_high,optimal,0.001932557,13,18309.35882176495,18309.359,8,511,4096,0.000252251,0.001680306
PRIMALC2,PROXQP_high,optimal,0.037385552999999995,22,-3551.3076927446964,-3551.3077,231,238,2078,0.00034068799999999996,0.037044864999999996
DUAL2,PROXQP_high,optimal,0.0011781069999999999,4,0.03373367608385909,0.033733676,96,97,9112,0.000412665,0.000765442
LISWET1,PROXQP_high,time_limit,1000.0,0,inf,36.122402,10002,20002,50004,,
QFFFFF80,PROXQP_high,optimal,3.633349041,187,873147.4605195497,873147.47,854,1378,10635,0.004550019,3.628799022
LISWET11,PROXQP_high,time_limit,1000.0,0,inf,49.523957,10002,20002,50004,,
AUG3D,PROXQP_high,optimal,0.054142792,3,554.0677257343589,554.06773,3873,4873,13092,0.00159455,0.052548241999999995
PRIMAL2,PROXQP_high,optimal,0.007078065000000001,9,-0.033733675966734364,-0.033733676,649,745,9339,0.00052797,0.006550095
KSIP,PROXQP_high,optimal,0.624615472,33,0.5757979412400964,0.57579794,20,1021,19938,0.0031995500000000002,0.621415922
PRIMALC1,PROXQP_high,optimal,0.021806001999999998,16,-6155.2508294497,-6155.2508,230,239,2529,0.000951664,0.020854338
PRIMALC8,PROXQP_high,optimal,0.166597445,15,-18309.42978823757,-18309.43,520,528,5199,0.001365018,0.165232427
QSHARE2B,PROXQP_high,optimal,0.013288191,140,11703.691721392785,11703.692,79,175,873,0.000653155,0.012635035999999999
MOSARQP1,PROXQP_high,optimal,0.312654434,26,-952.8754430317406,-952.87544,2500,3200,8512,0.0016265589999999999,0.311027875
AUG2D,PROXQP_high,optimal,33.404989175,9,1687411.7515882812,1687411.8,20200,30200,80000,0.009443455,33.39554572
HS53,PROXQP_high,optimal,7.9797e-05,3,4.093023252371434,4.0930233,5,8,21,2.3809e-05,5.5988e-05
CVXQP2_S,PROXQP_high,optimal,0.00215424,12,8120.940471965443,8120.9405,100,125,846,0.00017522399999999997,0.001979016
DTOC3,PROXQP_high,time_limit,1000.0,0,inf,235.26248,14999,24997,64989,,
DPKLO1,PROXQP_high,optimal,0.00079443,3,0.3700962170407225,0.37009622,133,210,1785,0.00021939199999999998,0.0005750379999999999
QSHELL,PROXQP_high,optimal,89.83717566199999,2404,1572636842970.7676,1572636800000.0,1775,2311,74506,0.003844026,89.833331636
CONT-200,PROXQP_high,time_limit,1000.0,0,inf,-4.6848759,40397,79998,278799,,
CVXQP1_M,PROXQP_high,optimal,2.119816634,29,1087511.5672969413,1087511.6,1000,1500,9466,0.001492865,2.118323769
POWELL20,PROXQP_high,time_limit,1000.0,0,inf,52089583000.0,10000,20000,40000,,
QRECIPE,PROXQP_high,optimal,0.003762929,23,-266.6160000165813,-266.616,180,271,923,0.000190703,0.003572226
QSCFXM2,PROXQP_high,optimal,6.384227043999999,1360,27776161.522013985,27776162.0,914,1574,8285,0.0012906010000000002,6.382936442999999
QETAMACR,PROXQP_high,optimal,1.2473176329999998,116,86760.36947962367,86760.37,688,1088,11613,0.000906826,1.246410807
HS35,PROXQP_high,optimal,8.0387e-05,6,0.11111110979249794,0.11111111,3,4,13,2.0489e-05,5.9898e-05
QGFRDXPN,PROXQP_high,time_limit,1000.0,0,inf,100790590000.0,1092,1708,3739,,
QE226,PROXQP_high,optimal,0.28476392700000003,328,212.65343272156318,212.65343,282,505,4721,0.0005253300000000001,0.284238597
LISWET12,PROXQP_high,time_limit,1000.0,0,inf,1736.9274,10002,20002,50004,,
CVXQP3_M,PROXQP_high,optimal,4.44702843,71,1362828.7394609826,1362828.7,1000,1750,10215,0.001925738,4.445102692
STCQP1,PROXQP_high,optimal,9.354714334,13,155143.55469503778,155143.56,4097,6149,66544,0.013341816,9.341372518
QSCSD1,PROXQP_high,optimal,0.816641581,43,8.66666668066982,8.6666667,760,837,4584,0.000647335,0.815994246
LISWET10,PROXQP_high,time_limit,1000.0,0,inf,49.485785,10002,20002,50004,,
HUES-MOD,PROXQP_high,optimal,0.12546776499999998,5,34824463.87335324,34824690.0,10000,10002,40000,0.017917277000000002,0.10755048799999999
CVXQP2_M,PROXQP_high,optimal,1.891369896,16,820155.4310144526,820155.43,1000,1250,8717,0.0050707619999999995,1.886299134
DUALC1,PROXQP_high,optimal,0.0011449189999999999,17,6155.250827407992,6155.2508,9,224,2025,0.000153485,0.000991434
QSCTAP2,PROXQP_high,optimal,17.22571915,122,1735.0264976924457,1735.0265,1880,2970,10007,0.001659188,17.224059962000002
GOULDQP2,PROXQP_high,optimal,1.022587466,153,0.00018427450336209292,0.00018427534,699,1048,2791,0.0005291510000000001,1.022058315
CVXQP1_S,PROXQP_high,optimal,0.003338347,17,11590.718119423018,11590.718,100,150,920,0.000204213,0.003134134
QSCFXM3,PROXQP_high,optimal,16.010441691,1814,30816354.46399342,30816355.0,1371,2361,11501,0.0019457989999999998,16.008495892
STADAT3,PROXQP_high,time_limit,1000.0,0,inf,-35.779453,4001,12000,27998,,
CONT-201,PROXQP_high,time_limit,1000.0,0,inf,0.19248337,40397,80595,249996,,
AUG3DQP,PROXQP_high,optimal,2.4034713479999996,10,675.2376708422023,675.23767,3873,4873,13092,0.001590652,2.401880696
EXDATA,PROXQP_high,time_limit,1000.0,0,inf,-141.84343,3000,6001,2260500,,
QPCSTAIR,PROXQP_high,optimal,0.13414071000000002,62,6204387.476064319,6204387.5,467,823,4790,0.000680545,0.133460165
BOYD2,PROXQP_high,time_limit,1000.0,0,inf,21.256767,93263,279794,517049,,
QBEACONF,PROXQP_high,optimal,0.07304642700000001,63,164712.06013118126,164712.06,262,435,3673,0.000488073,0.072558354
AUG2DCQP,PROXQP_high,optimal,53.905122205,21,6498134.739304788,6498134.8,20200,30200,80400,0.011240573,53.893881631999996
PRIMAL4,PROXQP_high,optimal,0.014979421,11,-0.7460908418027188,-0.74609083,1489,1564,19008,0.001182559,0.013796862
HS35MOD,PROXQP_high,optimal,0.00011031599999999999,2,0.2499999998942002,0.25,3,4,13,3.5439e-05,7.4877e-05
HS76,PROXQP_high,optimal,0.00011705600000000001,8,-4.681818181145936,-4.6818182,4,7,22,3.0859e-05,8.6197e-05
LISWET3,PROXQP_high,time_limit,1000.0,0,inf,25.00122,10002,20002,50004,,
QSCTAP3,PROXQP_high,optimal,56.344676887999995,112,1438.754680923745,1438.7547,2480,3960,13262,0.002351819,56.342325069
LASER,PROXQP_high,optimal,7.551108513,25,2409601.3536373023,2409601.4,1002,2002,9462,0.001289987,7.549818526
QGROW15,PROXQP_high,optimal,0.7958907249999999,333,-101693640.46827865,-101693640.0,645,945,7227,0.0009103799999999999,0.7949803449999999
QSCFXM1,PROXQP_high,optimal,0.6453663000000001,648,16882691.628290325,16882692.0,457,787,4456,0.0007641649999999999,0.644602135
STADAT1,PROXQP_high,time_limit,1000.0,0,inf,-28526864.0,2001,6000,13998,,
QSCTAP1,PROXQP_high,optimal,0.557057773,372,1415.8611111354232,1415.8611,480,780,2442,0.000532633,0.55652514
QADLITTL,PROXQP_high,optimal,0.010528150000000002,125,480318.85851969576,480318.86,97,153,637,0.00016724399999999999,0.010360906
QSCRS8,PROXQP_high,optimal,9.001078315,1239,904.5600138514919,904.56001,1169,1659,4560,0.001005937,9.000072378
HS268,PROXQP_high,optimal,0.00015353500000000003,4,-2.000888343900442e-11,5.7310705e-07,5,10,55,7.8477e-05,7.5058e-05
LOTSCHD,PROXQP_high,optimal,0.00018509400000000001,10,2398.4158903250827,2398.4159,12,19,72,4.0508e-05,0.00014458600000000001
GENHS28,PROXQP_high,optimal,0.00010543699999999999,2,0.9271736933515969,0.92717369,10,18,62,3.8199e-05,6.7238e-05
VALUES,PROXQP_high,optimal,0.038757255000000004,66,-1.3966211361390615,-1.3966211,202,203,7846,0.000423707,0.038333548
UBH1,PROXQP_high,time_limit,1000.0,0,inf,1.1160008,18009,30009,72012,,
QSCORPIO,PROXQP_high,optimal,0.127647948,62,1880.5095529918915,1880.5096,358,746,1842,0.00040829799999999997,0.12723965
QSCSD6,PROXQP_high,optimal,9.505188673,160,50.80821389065684,50.808214,1350,1497,8378,0.001065697,9.504122976
LISWET5,PROXQP_high,time_limit,1000.0,0,inf,25.034253,10002,20002,50004,,
QSTAIR,PROXQP_high,optimal,0.5270762769999999,239,7985452.756261492,7985452.8,467,823,6293,0.000755898,0.526320379
QSHIP04S,PROXQP_high,optimal,17.05558183,486,2424993.673003785,2424993.7,1458,1860,5908,0.001169465,17.054412365
LISWET2,PROXQP_high,time_limit,1000.0,0,inf,24.998076,10002,20002,50004,,
HS118,PROXQP_high,optimal,0.000421247,38,664.8204500005193,664.82045,15,32,69,3.6978e-05,0.00038426899999999996
MOSARQP2,PROXQP_high,optimal,0.012605222000000001,18,-1597.4821175353572,-1597.4821,900,1500,4820,0.000827306,0.011777916000000001
GOULDQP3,PROXQP_high,optimal,0.17803339,11,2.0627839726003003,2.062784,699,1048,3838,0.000583133,0.177450257
DUALC5,PROXQP_high,optimal,0.000878854,9,427.23232669155135,427.23233,8,286,2296,0.000176835,0.000702019
ZECEVIC2,PROXQP_high,optimal,9.946699999999999e-05,8,-4.124999999999955,-4.125,2,4,7,2.3619e-05,7.5848e-05
QSHIP08L,PROXQP_high,time_limit,1000.0,0,inf,2376040.6,4283,5061,86075,,
QFORPLAN,PROXQP_high,optimal,20.827246344,19460,7456631449.62645,7456631500.0,421,582,6112,0.000665901,20.826580442999997
CONT-101,PROXQP_high,time_limit,1000.0,0,inf,0.19552733,10197,20295,62496,,
AUG2DC,PROXQP_high,optimal,16.409791071,9,1818368.0636488944,1818368.1,20200,30200,80400,0.009823227,16.399967844
LISWET6,PROXQP_high,time_limit,1000.0,0,inf,24.995748,10002,20002,50004,,
QPILOTNO,PROXQP_high,optimal,355.189430756,2589,4728586.893245036,4728586.9,2172,3147,16105,0.017150875,355.17227988099995
STADAT2,PROXQP_high,time_limit,1000.0,0,inf,-32.626665,2001,6000,13998,,
BOYD1,PROXQP_high,time_limit,1000.0,0,inf,-61735220.0,93261,93279,745507,,
PRIMALC5,PROXQP_high,optimal,0.028389003,10,-427.2323267760125,-427.23233,287,295,2869,0.00032302300000000003,0.028065979999999997
QGROW22,PROXQP_high,optimal,1.992488992,385,-149628953.47179428,-149628950.0,946,1386,10837,0.001210182,1.99127881
PRIMAL3,PROXQP_high,optimal,0.015702782999999998,13,-0.13575583688225762,-0.13575584,745,856,23036,0.00088382,0.014818963
CVXQP1_L,PROXQP_high,time_limit,1000.0,0,inf,108704800.0,10000,15000,94966,,
QPCBOEI1,PROXQP_high,optimal,0.157759878,49,11503914.003412582,11503914.0,384,735,4253,0.000546791,0.157213087
QBORE3D,PROXQP_high,optimal,0.292978799,142,3100.20080168886,3100.2008,315,548,1872,0.000414444,0.29256435499999994
QCAPRI,PROXQP_high,optimal,0.826197037,613,66793293.19283727,66793293.0,353,624,3852,0.000526002,0.8256710349999999
CONT-300,PROXQP_high,time_limit,1000.0,0,inf,0.19151232,90597,180895,562496,,
QSC205,PROXQP_high,optimal,0.037291184,31,-0.005813957007280022,-0.0058139518,203,408,785,0.00026395,0.037027234
CONT-050,PROXQP_high,optimal,2.04154561,15,-4.5638509045544895,-4.5638509,2597,4998,17199,0.002545828,2.038999782
S268,PROXQP_high,optimal,0.00022188999999999998,4,-2.000888343900442e-11,5.7310705e-07,5,10,55,8.743999999999999e-05,0.00013445
HS52,PROXQP_high,optimal,8.824999999999999e-05,4,5.326647564369803,5.3266476,5,8,21,2.53e-05,6.295e-05
