name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QSHARE1B,QPALM_high,optimal,0.056395074,500,720078.3186248197,720078.32,225,342,1436
QSHIP12L,QPALM_high,optimal,2.625165767,459,3018876.574398671,3018876.6,5427,6578,144030
CVXQP3_L,QPALM_high,optimal,510.414700475,573,115711104.49958833,115711100.0,10000,17500,102465
QPCBLEND,QPALM_high,optimal,0.002517523,56,-0.007842547530501518,-0.0078425409,83,157,657
DUAL3,QPALM_high,optimal,0.0031926140000000003,21,0.1357558367165686,0.13575584,111,112,12327
QSHIP12S,QPALM_high,optimal,0.627672179,372,3056962.2366520716,3056962.3,2763,3914,44705
HS21,QPALM_high,optimal,3.136e-05,7,-99.96000000004973,-99.96,2,3,6
CVXQP2_L,QPALM_high,optimal,137.812518782,120,81842458.26247515,81842458.0,10000,12500,87467
YAO,QPALM_high,optimal,4.024552979,7006,196.48136900137172,197.70426,2002,4002,10004
QSIERRA,QPALM_high,optimal,0.267151089,298,23750458.17905629,23750458.0,2036,3263,9582
AUG3DC,QPALM_high,optimal,0.029435371,20,771.262436615274,771.26244,3873,4873,14292
LISWET4,QPALM_high,optimal,10.008542964,2770,25.00011057481572,25.000112,10002,20002,50004
DUAL1,QPALM_high,optimal,0.0024127709999999998,23,0.035012965315131976,0.035012966,85,86,7201
AUG2DQP,QPALM_high,optimal,0.689119275,65,6237011.841024452,6237012.1,20200,30200,80000
LISWET8,QPALM_high,optimal,306.325486571,128819,695.747866995961,7144.7006,10002,20002,50004
LISWET9,QPALM_high,optimal,134.059529359,63264,1910.7380955406481,1963.2513,10002,20002,50004
QSHIP08S,QPALM_high,optimal,0.42036872999999997,297,2385728.8512173356,2385728.9,2387,3165,32317
HUESTIS,QPALM_high,optimal,0.081900291,58,348244638733.4544,348246900000.0,10000,10002,40000
QBANDM,QPALM_high,optimal,0.074933002,283,16352.342036166567,16352.342,472,777,3023
QPCBOEI2,QPALM_high,optimal,0.013390844,170,8171962.168561969,8171962.3,143,309,1482
DUALC2,QPALM_high,optimal,0.000746813,17,3551.315113942651,3551.3077,7,236,1659
TAME,QPALM_high,optimal,3.304e-05,10,6.617444898273537e-24,0.0,2,3,8
QISRAEL,QPALM_high,optimal,0.012450288,134,25347837.788983587,25347838.0,142,316,3765
QBRANDY,QPALM_high,optimal,0.044060766,265,28375.11342044894,28375.115,249,469,2511
AUG3DCQP,QPALM_high,optimal,0.07501530399999999,39,993.3621464420245,993.36215,3873,4873,14292
PRIMAL1,QPALM_high,optimal,0.007116269999999999,26,-0.03501296573228787,-0.035012965,325,410,6464
CONT-100,QPALM_high,optimal,1.259992761,35,-4.64439845888507,-4.6443979,10197,19998,69399
QSHIP04L,QPALM_high,optimal,0.283614242,372,2420015.5284027276,2420015.5,2118,2520,8548
DUAL4,QPALM_high,optimal,0.0013528330000000001,21,0.7460908405991794,0.74609084,75,76,5673
QAFIRO,QPALM_high,optimal,0.0005596090000000001,34,-1.5907819985244196,-1.5907818,32,59,124
QSTANDAT,QPALM_high,optimal,0.017841429,42,6411.838367509997,6411.8384,1075,1434,5576
HS51,QPALM_high,optimal,4.2071e-05,9,0.0,8.8817842e-16,5,8,21
QSCSD8,QPALM_high,optimal,0.414335719,382,940.763574200035,940.76357,2750,3147,16214
QSCAGR7,QPALM_high,optimal,0.010233202,151,26865948.589837156,26865949.0,140,269,602
QSCAGR25,QPALM_high,optimal,0.069468502,284,201737938.64129108,201737940.0,500,971,2282
QPTEST,QPALM_high,optimal,3.767e-05,9,4.371875015895683,4.371875,2,4,10
