name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
QSHARE1B,SCS_high,optimal,0.935245009,59800,720078.3173046679,720078.32,225,342,1436,0.000990126,0.9342548829999999
QSHIP12L,SCS_high,optimal,102.180076366,139350,3018876.576618991,3018876.6,5427,6578,144030,0.042298155000000004,102.137778211
CVXQP3_L,SCS_high,optimal,246.101074484,16875,115711104.4658474,115711100.0,10000,17500,102465,3.7594060170000003,242.341668467
QPCBLEND,SCS_high,optimal,0.085131928,11925,-0.007842543119720598,-0.0078425409,83,157,657,0.00047162900000000005,0.084660299
DUAL3,SCS_high,optimal,0.0022833310000000004,50,0.13575583634764418,0.13575584,111,112,12327,0.0013421350000000002,0.000941196
QSHIP12S,SCS_high,optimal,13.432539775,48550,3056962.24912606,3056962.3,2763,3914,44705,0.010731698,13.421808077
HS21,SCS_high,optimal,0.000230799,200,-99.96000000019482,-99.96,2,3,6,5.45e-05,0.00017629900000000001
CVXQP2_L,SCS_high,optimal,167.987670569,15925,81842458.2945241,81842458.0,10000,12500,87467,1.999705472,165.987965097
YAO,SCS_high,time_limit,1000.0058047900001,6586050,43.596788561068166,197.70426,2002,4002,10004,0.004669622000000001,1000.001135168
QSIERRA,SCS_high,optimal,61.81185247799999,441850,23750458.179859623,23750458.0,2036,3263,9582,0.006046887,61.805805590999995
AUG3DC,SCS_high,optimal,0.023426957999999998,50,771.2624386889588,771.26244,3873,4873,14292,0.009622433,0.013804525
LISWET4,SCS_high,time_limit,1000.0352221649999,1210325,24.9999761019302,25.000112,10002,20002,50004,0.022543662000000003,1000.012678503
DUAL1,SCS_high,optimal,0.0016465330000000002,75,0.035012965733646914,0.035012966,85,86,7201,0.0007602870000000001,0.000886246
AUG2DQP,SCS_high,optimal,3.219645252,1850,6237012.025564178,6237012.1,20200,30200,80000,0.051003310999999996,3.1686419409999997
LISWET8,SCS_high,time_limit,1000.0407555160001,1066700,25.002579664621408,7144.7006,10002,20002,50004,0.022730301,1000.0180252150001
LISWET9,SCS_high,time_limit,1000.038521997,1073950,25.002242756491796,1963.2513,10002,20002,50004,0.022786871,1000.015735126
QSHIP08S,SCS_high,optimal,1.6759865240000003,7325,2385728.8507007994,2385728.9,2387,3165,32317,0.009510493,1.6664760310000002
HUESTIS,SCS_high,optimal,0.07370069300000001,125,348244638698.6504,348246900000.0,10000,10002,40000,0.017025354,0.056675339000000005
QBANDM,SCS_high,optimal,37.065883055,970225,16352.342023042822,16352.342,472,777,3023,0.002220951,37.063662104
QPCBOEI2,SCS_high,optimal,22.061639818000003,1503325,8171962.256248009,8171962.3,143,309,1482,0.000922196,22.060717622000002
DUALC2,SCS_high,optimal,0.001523384,125,3551.3076962281293,3551.3077,7,236,1659,0.0004976280000000001,0.0010257559999999998
TAME,SCS_high,optimal,9.279e-05,50,0.0,0.0,2,3,8,5.282e-05,3.997e-05
